Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End,Seconds,Radar Heart Rate
1,0:24,92,0:24,96,0:57,22,right,1:04,1:33,24.0,78.7
2,1:56,96,1:56,100,2:29,24,left,2:36,3:06,116.0,78.7
3,3:32,92,3:32,100,4:05,24,right,4:10,4:38,212.0,83.7
4,5:06,98,5:06,100,5:40,24,left,5:45,6:16,306.0,83.7
5,6:40,92,6:40,100,7:16,24,left,7:22,7:50,400.0,83.7
6,8:13,93,8:13,112,8:49,24,right,8:57,9:28,493.0,83.7
7,10:28,90,10:28,96,11:07,24,left,11:13,11:43,628.0,85.4
8,12:04,92,12:04,100,12:38,24,left,12:43,13:11,724.0,85.4
9,13:39,95,13:39,96,14:13,26,left,14:21,14:51,819.0,85.4
10,15:14,96,15:14,104,15:49,24,left,15:54,16:24,914.0,85.4
11,17:19,96,17:19,96,17:55,26,left,17:58,18:28,1039.0,85.4
12,18:54,91,18:54,100,19:28,26,left,19:31,20:00,1134.0,85.4
13,20:23,99,20:23,104,20:54,24,left,20:58,21:29,1223.0,85.4
14,21:51,97,21:51,104,22:25,28,left,22:32,22:58,1311.0,85.4
15,23:20,93,23:20,100,23:53,26,right,23:58,23:28,1400.0,85.4
