Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,1:54,103,1:54,88,3:34,28,114.0,80.4
2,4:07,104,4:07,100,4:47,22,247.0,80.4
3,5:11,98,5:11,96,5:50,22,311.0,83.7
4,6:15,100,6:15,104,6:52,20,375.0,83.7
5,7:19,106,7:19,88,7:55,20,439.0,83.7
6,8:21,108,8:21,108,8:58,20,501.0,83.7
7,9:30,106,9:30,92,10:07,20,570.0,83.7
8,10:32,96,10:32,84,11:15,22,632.0,83.7
9,11:40,108,11:40,88,12:20,22,700.0,83.7
10,13:13,80,13:13,80,13:53,26,793.0,78.7
11,14:13,78,14:13,76,14:49,26,853.0,80.4
12,15:13,80,15:13,88,15:47,26,913.0,80.4
13,16:30,79,16:30,80,17:05,24,990.0,82.0
14,17:32,80,17:32,84,18:10,24,1052.0,82.0
15,18:37,80,18:37,80,19:16,24,1117.0,82.0
