Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:54,98,0:54,96,2:24,30,54.0,83.7
2,2:51,100,2:51,92,3:35,30,171.0,83.7
3,3:58,100,3:58,88,4:46,30,238.0,83.7
4,5:10,95,5:10,48,5:52,32,310.0,83.7
5,6:24,90,6:24,96,7:02,32,384.0,83.7
6,7:29,101,7:29,96,8:02,34,449.0,83.7
7,8:25,95,8:25,92,9:00,30,505.0,83.7
8,9:25,103,9:25,96,9:59,36,565.0,83.7
9,10:25,93,10:25,104,16:18,36,625.0,83.7
10,16:56,96,16:56,96,17:36,32,1016.0,83.7
11,18:07,101,18:07,100,18:43,38,1087.0,83.7
12,19:27,100,19:27,96,20:02,38,1167.0,83.7
13,20:30,97,20:30,96,21:05,36,1230.0,83.7
14,21:29,102,21:29,88,22:18,36,1289.0,83.7
15,22:56,96,22:56,104,23:38,36,1376.0,83.7
