Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:46,84,0:46,80,1:30,22,46.0,78.7
2,1:58,91,1:58,92,2:41,24,118.0,82.0
3,3:12,81,3:12,88,4:00,26,192.0,82.0
4,4:31,88,4:31,80,5:11,30,271.0,82.0
5,5:35,85,5:35,88,6:24,30,335.0,82.0
6,6:51,91,6:51,96,7:36,30,411.0,82.0
7,8:05,83,8:05,84,8:49,32,485.0,82.0
8,9:45,90,9:45,92,10:30,32,585.0,83.7
9,10:57,88,10:57,76,11:40,36,657.0,85.4
10,12:04,88,12:04,76,12:45,34,724.0,85.4
11,13:09,90,13:09,92,13:53,30,789.0,85.4
12,14:17,94,14:17,96,14:57,34,857.0,85.4
13,15:29,86,15:29,84,16:06,34,929.0,85.4
14,16:31,87,16:31,84,17:14,32,991.0,85.4
15,17:41,82,17:41,80,18:27,34,1061.0,85.4
