Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:20,100,0:20,100,0:52,24,20.0,72.0
2,1:13,102,1:13,100,1:48,28,73.0,72.0
3,2:08,108,2:08,112,2:41,24,128.0,78.7
4,3:02,87,3:02,96,3:34,26,182.0,80.4
5,3:55,101,3:55,104,4:28,26,235.0,80.4
6,4:45,98,4:45,100,5:23,26,285.0,80.4
7,5:44,99,5:44,108,6:18,26,344.0,82.0
8,6:41,95,6:41,100,7:15,24,401.0,82.0
9,7:35,97,7:35,100,8:08,24,455.0,82.0
10,8:30,98,8:30,100,9:04,24,510.0,82.0
11,9:26,91,9:26,100,10:00,24,566.0,83.7
12,10:21,95,10:21,104,10:55,24,621.0,83.7
13,11:16,97,11:16,104,11:50,24,676.0,83.7
14,12:12,101,12:12,104,12:45,22,732.0,83.7
15,13:08,93,13:08,88,13:45,24,788.0,83.7
