Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,32,80,32,84,1:11,24,32.0,83.7
2,1:37,84,1:37,88,2:12,22,97.0,83.7
3,2:39,90,2:39,72,3:12,24,159.0,83.7
4,3:36,87,3:36,88,4:11,22,216.0,83.7
5,4:33,87,4:33,84,5:08,22,273.0,83.7
6,5:35,88,5:35,88,6:11,22,335.0,83.7
7,6:34,86,6:34,88,7:08,24,394.0,83.7
8,7:38,86,7:38,100,8:13,24,458.0,83.7
9,8:38,88,8:38,88,9:11,24,518.0,83.7
10,9:36,87,9:36,80,10:12,22,576.0,83.7
11,10:34,90,10:34,88,10:09,22,634.0,83.7
12,11:32,91,11:32,84,12:06,22,692.0,83.7
13,12:33,86,12:33,92,13:07,22,753.0,83.7
14,13:33,87,13:33,84,14:09,24,813.0,83.7
15,14:33,85,14:33,84,15:07,20,873.0,83.7
