Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:38,85,0:38,64,1:15,16,38.0,87.1
2,1:37,87,1:37,84,2:16,16,97.0,87.1
3,2:37,86,2:37,84,3:25,18,157.0,87.1
4,3:47,86,3:47,84,4:25,16,227.0,87.1
5,4:46,89,4:46,88,5:23,14,286.0,87.1
6,5:44,82,5:44,76,6:21,14,344.0,87.1
7,6:43,86,6:43,76,7:18,16,403.0,87.1
8,7:43,87,7:43,88,8:18,14,463.0,87.1
9,8:39,83,8:39,84,9:21,18,519.0,87.1
10,9:56,89,9:56,84,10:33,16,596.0,87.1
11,11:07,81,11:07,80,11:43,14,667.0,87.1
12,12:05,90,12:05,80,12:42,16,725.0,87.1
13,13:03,88,13:03,80,13:39,16,783.0,87.1
14,13:59,83,13:59,80,14:53,16,839.0,87.1
15,15:15,86,15:15,80,15:53,18,915.0,87.1
