Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:29,81,0:29,80,1:09,32,29.0,83.7
2,1:32,81,1:32,56,2:30,46,92.0,83.7
3,3:02,89,3:02,80,3:36,50,182.0,83.7
4,4:04,90,4:04,76,4:40,48,244.0,83.7
5,5:05,86,5:05,64,5:39,46,305.0,83.7
6,6:03,81,6:03,72,6:40,56,363.0,83.7
7,7:25,98,7:25,76,8:00,72,445.0,83.7
8,8:28,93,8:28,88,9:04,44,508.0,83.7
9,9:33,93,9:33,84,10:10,54,573.0,83.7
10,10:53,89,10:53,88,11:28,36,653.0,83.7
11,13:26,82,13:26,80,14:01,36,806.0,83.7
12,14:23,90,14:23,96,14:57,12,863.0,83.7
13,15:24,82,15:24,88,16:00,28,924.0,83.7
14,16:24,84,16:24,76,17:00,28,984.0,83.7
15,17:23,78,17:23,80,17:57,20,1043.0,83.7
