Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:36,80,0:36,80,1:39,38,36.0,75.3
2,2:20,82,2:20,84,3:08,36,140.0,83.7
3,3:38,78,3:38,80,4:20,42,218.0,83.7
4,4:54,82,4:54,80,5:40,38,294.0,83.7
5,6:08,77,6:08,80,7:02,34,368.0,77.0
6,7:59,77,7:59,76,8:40,36,479.0,82.0
7,9:09,76,9:09,74,9:49,38,549.0,82.0
8,10:13,82,10:13,85,11:03,36,613.0,87.1
9,11:09,82,11:09,84,12:18,34,669.0,87.1
10,12:46,81,12:46,80,13:27,38,766.0,87.1
11,13:54,77,13:54,80,14:34,34,834.0,87.1
12,15:00,83,15:00,84,15:40,36,900.0,87.1
13,16:09,81,16:09,84,16:51,36,969.0,87.1
14,17:14,82,17:14,80,18:02,36,1034.0,87.1
15,18:27,80,18:27,80,19:12,38,1107.0,87.1
