Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
1200.198,0,10.0,83.7,Presence,18,,unknown
1200.292,0,10.0,83.7,Presence,18,,unknown
1200.387,0,10.0,83.7,Presence,18,-39.56297434856789,leaning left
1200.473,0,10.0,83.7,Presence,18,-53.129545291135614,leaning left
1200.567,0,10.0,83.7,Presence,18,,unknown
1200.648,0,10.0,83.7,Presence,18,-53.129545291135614,leaning left
1200.756,0,10.0,83.7,Presence,18,-53.129545291135614,leaning left
1200.845,0,10.0,83.7,Presence,18,-53.129545291135614,leaning left
1200.929,0,10.0,83.7,Presence,18,-26.28991118064377,leaning left
1201.024,0,10.0,83.7,Presence,18,0.0,upright
1201.103,0,10.0,83.7,Presence,18,42.04316707451427,leaning right
1201.197,0,10.0,83.7,Presence,18,42.04316707451427,leaning right
1201.292,0,10.0,83.7,Presence,18,0.0,upright
1201.371,0,10.0,83.7,Presence,18,0.0,upright
1201.506,0,6.7,83.7,Presence,18,0.0,upright
1201.554,0,6.7,83.7,Presence,18,0.0,upright
1201.650,0,6.7,83.7,Presence,18,32.8843073749767,leaning right
1201.726,0,6.7,83.7,Presence,18,,unknown
1201.820,0,6.7,83.7,Presence,18,,unknown
1201.915,0,6.7,83.7,Presence,18,60.2731887776979,leaning right
1202.009,0,6.7,83.7,Presence,18,26.059185423261013,leaning right
1202.103,0,6.7,83.7,Presence,18,26.059185423261013,leaning right
1202.195,0,6.7,83.7,Presence,18,-35.80386113251563,leaning left
1202.278,0,6.7,83.7,Presence,18,0.0,upright
1202.373,0,6.7,83.7,Presence,18,59.11891538591809,leaning right
1202.461,0,6.7,83.7,Presence,18,59.11891538591809,leaning right
1202.556,0,6.7,83.7,Presence,18,67.73057637069002,leaning right
1202.634,0,6.7,83.7,Presence,18,59.11891538591809,leaning right
1202.728,0,6.7,83.7,Presence,18,56.347570908488606,leaning right
1202.822,0,6.7,83.7,Presence,18,,unknown
1202.932,0,13.4,83.7,Presence,24,,unknown
1202.995,0,13.4,83.7,Presence,24,,unknown
1203.089,0,13.4,83.7,Presence,24,,unknown
1203.183,0,13.4,83.7,Presence,24,,unknown
1203.262,0,13.4,83.7,Presence,24,,unknown
1203.372,0,13.4,83.7,Presence,24,62.01841946842449,leaning right
1203.444,0,13.4,83.7,Presence,24,,unknown
1203.523,0,13.4,83.7,Presence,24,,unknown
1203.617,0,13.4,83.7,Presence,24,,unknown
1203.712,0,13.4,83.7,Presence,24,62.01841946842449,leaning right
1203.806,0,13.4,83.7,Presence,24,,unknown
1203.884,0,13.4,83.7,Presence,24,,unknown
1203.979,0,13.4,83.7,Presence,24,,unknown
1204.073,0,13.4,83.7,Presence,24,25.405489545678464,leaning right
1204.154,0,13.4,83.7,Presence,24,,unknown
1204.262,0,13.4,83.7,Presence,24,,unknown
1204.388,0,8.4,83.7,Presence,24,,unknown
1204.437,0,8.4,83.7,Presence,24,,unknown
1204.523,0,8.4,83.7,Presence,24,,unknown
1204.602,0,8.4,83.7,Presence,24,,unknown
1204.696,0,8.4,83.7,Presence,24,,unknown
1204.791,0,8.4,83.7,Presence,24,,unknown
1204.885,0,8.4,83.7,Presence,24,,unknown
1204.964,0,8.4,83.7,Presence,24,,unknown
1205.059,0,8.4,83.7,Presence,24,,unknown
1205.156,0,8.4,83.7,Presence,24,,unknown
1205.256,0,8.4,83.7,Presence,24,25.405489545678464,leaning right
1205.326,0,8.4,83.7,Presence,24,0.0,upright
1205.420,0,8.4,83.7,Presence,24,,unknown
1205.508,0,8.4,83.7,Presence,24,0.0,upright
1205.603,0,8.4,83.7,Presence,24,0.0,upright
1205.682,0,8.4,83.7,Presence,24,,unknown
1205.823,0,21.8,83.7,Presence,24,,unknown
1205.871,0,21.8,83.7,Presence,24,0.0,upright
1205.966,0,21.8,83.7,Presence,24,0.0,upright
1206.060,0,21.8,83.7,Presence,24,0.0,upright
1206.157,0,21.8,83.7,Presence,24,0.0,upright
1206.248,0,21.8,83.7,Presence,24,,unknown
1206.343,0,21.8,83.7,Presence,24,0.0,upright
1206.422,0,21.8,83.7,Presence,24,0.0,upright
1206.510,0,21.8,83.7,Presence,24,0.0,upright
1206.605,0,21.8,83.7,Presence,24,0.0,upright
1206.699,0,21.8,83.7,Presence,24,-50.614271964821704,leaning left
1206.778,0,21.8,83.7,Presence,24,-49.784999102394345,leaning left
1206.873,0,21.8,83.7,Presence,24,0.0,upright
1206.967,0,21.8,83.7,Presence,24,-49.911899199499814,leaning left
1207.061,0,21.8,83.7,Presence,24,-49.911899199499814,leaning left
1207.140,0,21.8,83.7,Presence,24,-49.911899199499814,leaning left
1207.266,0,13.4,83.7,Presence,24,-49.911899199499814,leaning left
1207.313,0,13.4,83.7,Presence,24,-83.08805098830771,leaning left
1207.407,0,13.4,83.7,Presence,24,-49.911899199499814,leaning left
1207.493,0,13.4,83.7,Presence,24,-38.23381979369641,leaning left
1207.588,0,13.4,83.7,Presence,24,0.0,upright
1207.682,0,13.4,83.7,Presence,24,0.0,upright
1207.776,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1207.861,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1207.961,0,13.4,83.7,Presence,24,0.0,upright
1208.043,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1208.122,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1208.231,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1208.294,0,13.4,83.7,Presence,24,-63.35560328162889,leaning left
1208.405,0,13.4,83.7,Presence,24,0.0,upright
1208.494,0,13.4,83.7,Presence,24,-62.175656609964435,leaning left
1208.573,0,13.4,83.7,Presence,24,-57.43080936310251,leaning left
1208.699,0,13.4,83.7,Presence,18,-57.43080936310251,leaning left
1208.762,0,13.4,83.7,Presence,18,0.0,upright
1208.856,0,13.4,83.7,Presence,18,-26.31912157121258,leaning left
1208.934,0,13.4,83.7,Presence,18,-26.31912157121258,leaning left
1209.028,0,13.4,83.7,Presence,18,-57.43080936310251,leaning left
1209.123,0,13.4,83.7,Presence,18,,unknown
1209.217,0,13.4,83.7,Presence,18,-57.43080936310251,leaning left
1209.311,0,13.4,83.7,Presence,18,-60.751902151913626,leaning left
1209.405,0,13.4,83.7,Presence,18,-68.84937133089215,leaning left
1209.486,0,13.4,83.7,Presence,18,-68.84937133089215,leaning left
1209.573,0,13.4,83.7,Presence,18,-68.84937133089215,leaning left
1209.652,0,13.4,83.7,Presence,18,-72.0914156502888,leaning left
1209.763,0,13.4,83.7,Presence,18,-72.0914156502888,leaning left
1209.841,0,13.4,83.7,Presence,18,-72.0914156502888,leaning left
1209.919,0,13.4,83.7,Presence,18,-39.928307771939856,leaning left
1210.029,0,13.4,83.7,Presence,18,0.0,upright
1210.154,0,11.7,83.7,Presence,22,0.0,upright
1210.187,0,11.7,83.7,Presence,22,28.341696559855265,leaning right
1210.296,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.391,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.470,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.564,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.652,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.747,0,11.7,83.7,Presence,22,34.38259374038637,leaning right
1210.856,0,11.7,83.7,Presence,22,64.1416850948944,leaning right
1210.919,0,11.7,83.7,Presence,22,34.38259374038637,leaning right
1211.013,0,11.7,83.7,Presence,22,-28.328208876866,leaning left
1211.112,0,11.7,83.7,Presence,22,-28.328208876866,leaning left
1211.187,0,11.7,83.7,Presence,22,-37.97826793336661,leaning left
1211.282,0,11.7,83.7,Presence,22,-37.97826793336661,leaning left
1211.377,0,11.7,83.7,Presence,22,-37.97826793336661,leaning left
1211.472,0,11.7,83.7,Presence,22,0.0,upright
1211.606,0,21.8,83.7,Presence,22,0.0,upright
1211.637,0,21.8,83.7,Presence,22,0.0,upright
1211.731,0,21.8,83.7,Presence,22,0.0,upright
1211.826,0,21.8,83.7,Presence,22,0.0,upright
1211.904,0,21.8,83.7,Presence,22,0.0,upright
1211.999,0,21.8,83.7,Presence,22,0.0,upright
1212.093,0,21.8,83.7,Presence,22,0.0,upright
1212.172,0,21.8,83.7,Presence,22,36.75529362630822,leaning right
1212.267,0,21.8,83.7,Presence,22,29.271288512162734,leaning right
1212.360,0,21.8,83.7,Presence,22,29.271288512162734,leaning right
1212.454,0,21.8,83.7,Presence,22,29.271288512162734,leaning right
1212.535,0,21.8,83.7,Presence,22,29.271288512162734,leaning right
1212.625,0,21.8,83.7,Presence,22,,unknown
1212.704,0,21.8,83.7,Presence,22,29.271288512162734,leaning right
1212.798,0,21.8,83.7,Presence,22,,unknown
1212.908,0,21.8,83.7,Presence,22,0.0,upright
1213.034,0,18.4,83.7,Presence,22,0.0,upright
1213.081,0,18.4,83.7,Presence,22,0.0,upright
1213.176,0,18.4,83.7,Presence,22,0.0,upright
1213.270,0,18.4,83.7,Presence,22,0.0,upright
1213.348,0,18.4,83.7,Presence,22,0.0,upright
1213.442,0,18.4,83.7,Presence,22,0.0,upright
1213.537,0,18.4,83.7,Presence,22,24.55117337560906,leaning right
1213.626,0,18.4,83.7,Presence,22,63.90988332612904,leaning right
1213.705,0,18.4,83.7,Presence,22,68.96874466409285,leaning right
1213.799,0,18.4,83.7,Presence,22,68.96874466409285,leaning right
1213.894,0,18.4,83.7,Presence,22,,unknown
1213.973,0,18.4,83.7,Presence,22,68.96874466409285,leaning right
1214.070,0,18.4,83.7,Presence,22,,unknown
1214.161,0,18.4,83.7,Presence,22,,unknown
1214.240,0,18.4,83.7,Presence,22,,unknown
1214.319,0,18.4,83.7,Presence,22,,unknown
1214.461,0,6.7,83.7,Presence,22,,unknown
