Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
600.066,0,10.0,85.4,Presence,22,,unknown
600.192,0,15.1,85.4,Presence,22,,unknown
600.240,0,15.1,85.4,Presence,22,,unknown
600.334,0,15.1,85.4,Presence,22,,unknown
600.414,0,15.1,85.4,Presence,22,,unknown
600.509,0,15.1,85.4,Presence,22,,unknown
600.606,0,15.1,85.4,Presence,22,,unknown
600.682,0,15.1,85.4,Presence,22,,unknown
600.776,0,15.1,85.4,Presence,22,,unknown
600.871,0,15.1,85.4,Presence,22,22.00106112925316,leaning right
600.965,0,15.1,85.4,Presence,22,,unknown
601.051,0,15.1,85.4,Presence,22,,unknown
601.145,0,15.1,85.4,Presence,22,22.00106112925316,leaning right
601.240,0,15.1,85.4,Presence,22,25.813968376214632,leaning right
601.325,0,15.1,85.4,Presence,22,25.813968376214632,leaning right
601.414,0,15.1,85.4,Presence,22,,unknown
601.508,0,15.1,85.4,Presence,22,25.813968376214632,leaning right
601.634,0,20.1,85.4,Presence,22,25.813968376214632,leaning right
601.681,0,20.1,85.4,Presence,22,28.122744821633937,leaning right
601.775,0,20.1,85.4,Presence,22,,unknown
601.870,0,20.1,85.4,Presence,22,0.0,upright
601.949,0,20.1,85.4,Presence,22,-25.617437749318228,leaning left
602.053,0,20.1,85.4,Presence,22,0.0,upright
602.132,0,20.1,85.4,Presence,22,24.476305180406193,leaning right
602.226,0,20.1,85.4,Presence,22,0.0,upright
602.320,0,20.1,85.4,Presence,22,0.0,upright
602.409,0,20.1,85.4,Presence,22,38.7255607497988,leaning right
602.492,0,20.1,85.4,Presence,22,38.7255607497988,leaning right
602.587,0,20.1,85.4,Presence,22,67.04988682908062,leaning right
602.681,0,20.1,85.4,Presence,22,38.7255607497988,leaning right
602.775,0,20.1,85.4,Presence,22,38.7255607497988,leaning right
602.854,0,20.1,85.4,Presence,22,67.04988682908062,leaning right
602.948,0,20.1,85.4,Presence,22,,unknown
603.073,0,13.4,85.4,Presence,22,,unknown
603.119,0,13.4,85.4,Presence,22,67.04988682908062,leaning right
603.213,0,13.4,85.4,Presence,22,38.7255607497988,leaning right
603.310,0,13.4,85.4,Presence,22,56.322310091632325,leaning right
