Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
8.480,0,N/A,N/A,No Patient Detected,0,,unknown
8.570,0,N/A,N/A,No Patient Detected,0,,unknown
8.658,0,N/A,N/A,No Patient Detected,0,,unknown
8.748,0,N/A,N/A,No Patient Detected,0,,unknown
8.839,0,N/A,N/A,No Patient Detected,0,,unknown
8.928,0,N/A,N/A,No Patient Detected,0,,unknown
9.018,0,N/A,N/A,No Patient Detected,0,,unknown
9.109,0,N/A,N/A,No Patient Detected,0,,unknown
9.209,0,N/A,N/A,No Patient Detected,0,,unknown
9.284,0,N/A,N/A,No Patient Detected,0,,unknown
9.388,0,N/A,N/A,No Patient Detected,0,,unknown
9.479,0,N/A,N/A,No Patient Detected,0,,unknown
9.553,0,N/A,N/A,No Patient Detected,0,,unknown
9.644,0,N/A,N/A,No Patient Detected,0,,unknown
9.748,0,N/A,N/A,No Patient Detected,0,,unknown
9.870,0,N/A,77.0,Holding Breath,15,,unknown
9.913,0,N/A,77.0,Holding Breath,15,,unknown
10.003,0,N/A,77.0,Holding Breath,15,,unknown
10.093,0,N/A,77.0,Holding Breath,15,,unknown
10.184,0,N/A,77.0,Holding Breath,15,,unknown
10.290,0,N/A,77.0,Holding Breath,15,-80.26260965875353,leaning left
10.364,0,N/A,77.0,Holding Breath,15,,unknown
10.453,0,N/A,77.0,Holding Breath,15,,unknown
10.544,0,N/A,77.0,Holding Breath,15,-38.87002688794124,leaning left
10.633,0,N/A,77.0,Holding Breath,15,,unknown
10.723,0,N/A,77.0,Holding Breath,15,,unknown
10.814,0,N/A,77.0,Holding Breath,15,,unknown
10.904,0,N/A,77.0,Holding Breath,15,-49.3189398688243,leaning left
10.993,0,N/A,77.0,Holding Breath,15,-23.398191992976628,leaning left
11.083,0,N/A,77.0,Holding Breath,15,0.0,upright
11.189,0,N/A,77.0,Holding Breath,15,0.0,upright
11.309,0,N/A,77.0,Holding Breath,102,0.0,upright
11.353,0,N/A,77.0,Holding Breath,102,,unknown
11.443,0,N/A,77.0,Holding Breath,102,,unknown
