Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
300.045,0,13.4,83.7,Presence,20,-23.75464577507165,leaning left
300.127,0,13.4,83.7,Presence,20,28.596311852045382,leaning right
300.210,0,13.4,83.7,Presence,20,28.596311852045382,leaning right
300.286,0,13.4,83.7,Presence,20,,unknown
300.395,0,13.4,83.7,Presence,20,,unknown
300.483,0,13.4,83.7,Presence,20,30.378098863565803,leaning right
300.575,0,13.4,83.7,Presence,20,0.0,upright
300.659,0,13.4,83.7,Presence,20,29.150177380245395,leaning right
300.750,0,13.4,83.7,Presence,20,29.150177380245395,leaning right
300.840,0,13.4,83.7,Presence,20,29.150177380245395,leaning right
300.942,0,13.4,83.7,Presence,20,0.0,upright
301.026,0,13.4,83.7,Presence,20,0.0,upright
301.109,0,13.4,83.7,Presence,20,0.0,upright
301.211,0,13.4,83.7,Presence,20,-24.55416092222933,leaning left
301.296,0,13.4,83.7,Presence,20,-24.55416092222933,leaning left
301.427,0,10.0,83.7,Presence,20,-29.687509404564466,leaning left
301.480,0,10.0,83.7,Presence,20,-33.39297099981833,leaning left
301.564,0,10.0,83.7,Presence,20,-33.39297099981833,leaning left
301.654,0,10.0,83.7,Presence,20,-27.88178059738236,leaning left
301.748,0,10.0,83.7,Presence,20,-27.88178059738236,leaning left
301.854,0,10.0,83.7,Presence,20,-35.67394444166408,leaning left
301.938,0,10.0,83.7,Presence,20,-44.38471134501246,leaning left
302.014,0,10.0,83.7,Presence,20,-44.38471134501246,leaning left
302.090,0,10.0,83.7,Presence,20,-44.38471134501246,leaning left
302.208,0,10.0,83.7,Presence,20,0.0,upright
302.294,0,10.0,83.7,Presence,20,0.0,upright
302.386,0,10.0,83.7,Presence,20,26.774882904929328,leaning right
302.480,0,10.0,83.7,Presence,20,46.1071373034068,leaning right
302.559,0,10.0,83.7,Presence,20,0.0,upright
302.649,0,10.0,83.7,Presence,20,46.1071373034068,leaning right
302.733,0,10.0,83.7,Presence,20,46.1071373034068,leaning right
302.874,0,10.0,83.7,Presence,20,46.1071373034068,leaning right
302.910,0,10.0,83.7,Presence,20,38.06108943228054,leaning right
303.003,0,10.0,83.7,Presence,20,38.06108943228054,leaning right
303.093,0,10.0,83.7,Presence,20,38.06108943228054,leaning right
303.185,0,10.0,83.7,Presence,20,43.667731723123936,leaning right
303.276,0,10.0,83.7,Presence,20,51.7137795942502,leaning right
303.359,0,10.0,83.7,Presence,20,43.667731723123936,leaning right
303.459,0,10.0,83.7,Presence,20,43.667731723123936,leaning right
303.544,0,10.0,83.7,Presence,20,43.667731723123936,leaning right
303.634,0,10.0,83.7,Presence,20,56.72437429257419,leaning right
303.709,0,10.0,83.7,Presence,20,56.72437429257419,leaning right
303.809,0,10.0,83.7,Presence,20,56.72437429257419,leaning right
303.902,0,10.0,83.7,Presence,20,32.92922644215204,leaning right
303.979,0,10.0,83.7,Presence,20,0.0,upright
304.085,0,10.0,83.7,Presence,20,0.0,upright
304.176,0,10.0,83.7,Presence,20,0.0,upright
304.293,0,8.4,83.7,Presence,22,0.0,upright
304.353,0,8.4,83.7,Presence,22,0.0,upright
304.444,0,8.4,83.7,Presence,22,0.0,upright
304.527,0,8.4,83.7,Presence,22,-31.58034573533282,leaning left
304.640,0,8.4,83.7,Presence,22,0.0,upright
304.714,0,8.4,83.7,Presence,22,0.0,upright
304.807,0,8.4,83.7,Presence,22,-51.12847024989565,leaning left
304.897,0,8.4,83.7,Presence,22,-51.12847024989565,leaning left
304.980,0,8.4,83.7,Presence,22,-51.12847024989565,leaning left
305.081,0,8.4,83.7,Presence,22,-61.654021850932594,leaning left
305.163,0,8.4,83.7,Presence,22,,unknown
305.245,0,8.4,83.7,Presence,22,-64.3387901814803,leaning left
305.342,0,8.4,83.7,Presence,22,-65.27829367091636,leaning left
305.433,0,8.4,83.7,Presence,22,-67.57336405847059,leaning left
305.508,0,8.4,83.7,Presence,22,-69.95368326064127,leaning left
305.615,0,8.4,83.7,Presence,22,-69.95368326064127,leaning left
305.750,0,8.4,83.7,Presence,22,-69.95368326064127,leaning left
305.779,0,8.4,83.7,Presence,22,-69.95368326064127,leaning left
305.867,0,8.4,83.7,Presence,22,-67.91230860436397,leaning left
305.976,0,8.4,83.7,Presence,22,0.0,upright
306.050,0,8.4,83.7,Presence,22,0.0,upright
306.151,0,8.4,83.7,Presence,22,,unknown
306.226,0,8.4,83.7,Presence,22,0.0,upright
306.316,0,8.4,83.7,Presence,22,0.0,upright
306.409,0,8.4,83.7,Presence,22,,unknown
306.501,0,8.4,83.7,Presence,22,50.42778278521115,leaning right
306.584,0,8.4,83.7,Presence,22,50.42778278521115,leaning right
306.692,0,8.4,83.7,Presence,22,50.42778278521115,leaning right
306.766,0,8.4,83.7,Presence,22,26.91557532427467,leaning right
306.859,0,8.4,83.7,Presence,22,26.91557532427467,leaning right
306.949,0,8.4,83.7,Presence,22,0.0,upright
307.051,0,8.4,83.7,Presence,22,0.0,upright
307.176,0,10.0,83.7,Presence,22,40.54618926782451,leaning right
307.217,0,10.0,83.7,Presence,22,,unknown
307.310,0,10.0,83.7,Presence,22,,unknown
307.396,0,10.0,83.7,Presence,22,,unknown
307.487,0,10.0,83.7,Presence,22,,unknown
307.575,0,10.0,83.7,Presence,22,,unknown
307.666,0,10.0,83.7,Presence,22,40.54618926782451,leaning right
307.759,0,10.0,83.7,Presence,22,,unknown
307.842,0,10.0,83.7,Presence,22,,unknown
307.934,0,10.0,83.7,Presence,22,40.54618926782451,leaning right
308.043,0,10.0,83.7,Presence,22,,unknown
308.117,0,10.0,83.7,Presence,22,,unknown
308.210,0,10.0,83.7,Presence,22,0.0,upright
308.292,0,10.0,83.7,Presence,22,0.0,upright
308.388,0,10.0,83.7,Presence,22,-24.106135737820807,leaning left
308.472,0,10.0,83.7,Presence,22,-22.726977446632375,leaning left
308.614,0,15.1,83.7,Presence,22,-22.726977446632375,leaning left
308.656,0,15.1,83.7,Presence,22,,unknown
308.751,0,15.1,83.7,Presence,22,-24.48275666771093,leaning left
308.834,0,15.1,83.7,Presence,22,,unknown
308.926,0,15.1,83.7,Presence,22,-24.48275666771093,leaning left
309.037,0,15.1,83.7,Presence,22,-24.48275666771093,leaning left
309.111,0,15.1,83.7,Presence,22,-20.54815281824544,leaning left
309.202,0,15.1,83.7,Presence,22,0.0,upright
309.294,0,15.1,83.7,Presence,22,0.0,upright
309.379,0,15.1,83.7,Presence,22,0.0,upright
309.475,0,15.1,83.7,Presence,22,0.0,upright
309.562,0,15.1,83.7,Presence,22,30.543579777871813,leaning right
309.656,0,15.1,83.7,Presence,22,30.543579777871813,leaning right
309.738,0,15.1,83.7,Presence,22,30.543579777871813,leaning right
309.839,0,15.1,83.7,Presence,22,29.11916411997109,leaning right
309.932,0,15.1,83.7,Presence,22,,unknown
310.050,0,15.1,83.7,Presence,22,,unknown
310.117,0,15.1,83.7,Presence,22,0.0,upright
310.200,0,15.1,83.7,Presence,22,0.0,upright
310.283,0,15.1,83.7,Presence,22,,unknown
310.368,0,15.1,83.7,Presence,22,0.0,upright
310.459,0,15.1,83.7,Presence,22,0.0,upright
310.551,0,15.1,83.7,Presence,22,0.0,upright
310.652,0,15.1,83.7,Presence,22,-37.755670453353076,leaning left
310.743,0,15.1,83.7,Presence,22,-37.755670453353076,leaning left
310.835,0,15.1,83.7,Presence,22,-37.755670453353076,leaning left
310.925,0,15.1,83.7,Presence,22,-56.393987238719575,leaning left
310.992,0,15.1,83.7,Presence,22,-37.755670453353076,leaning left
311.084,0,15.1,83.7,Presence,22,-55.82938934053566,leaning left
311.178,0,15.1,83.7,Presence,22,-54.734869938167364,leaning left
311.284,0,15.1,83.7,Presence,22,-56.87521219201369,leaning left
311.375,0,15.1,83.7,Presence,22,-54.734869938167364,leaning left
311.503,0,8.4,83.7,Presence,22,-54.734869938167364,leaning left
311.552,0,8.4,83.7,Presence,22,,unknown
311.644,0,8.4,83.7,Presence,22,-54.734869938167364,leaning left
311.718,0,8.4,83.7,Presence,22,-54.734869938167364,leaning left
311.809,0,8.4,83.7,Presence,22,-51.966629765076554,leaning left
311.912,0,8.4,83.7,Presence,22,,unknown
312.003,0,8.4,83.7,Presence,22,-29.180143987771256,leaning left
312.080,0,8.4,83.7,Presence,22,-44.32493160053335,leaning left
312.164,0,8.4,83.7,Presence,22,-42.48464356391396,leaning left
312.272,0,8.4,83.7,Presence,22,-42.48464356391396,leaning left
312.364,0,8.4,83.7,Presence,22,-22.730941640656454,leaning left
312.452,0,8.4,83.7,Presence,22,-42.48464356391396,leaning left
312.543,0,8.4,83.7,Presence,22,-42.48464356391396,leaning left
312.617,0,8.4,83.7,Presence,22,,unknown
312.709,0,8.4,83.7,Presence,22,-34.88231646940639,leaning left
312.809,0,8.4,83.7,Presence,22,,unknown
312.935,0,8.4,83.7,Presence,22,,unknown
312.995,0,8.4,83.7,Presence,22,-42.48464356391396,leaning left
313.087,0,8.4,83.7,Presence,22,-34.88231646940639,leaning left
313.170,0,8.4,83.7,Presence,22,-34.88231646940639,leaning left
313.244,0,8.4,83.7,Presence,22,-39.49123077990181,leaning left
313.337,0,8.4,83.7,Presence,22,-32.634576088143604,leaning left
313.444,0,8.4,83.7,Presence,22,-28.690606769245335,leaning left
313.542,0,8.4,83.7,Presence,22,-28.690606769245335,leaning left
313.612,0,8.4,83.7,Presence,22,-21.669373135345865,leaning left
313.703,0,8.4,83.7,Presence,22,-24.86767005149477,leaning left
313.808,0,8.4,83.7,Presence,22,-25.613342454244133,leaning left
313.877,0,8.4,83.7,Presence,22,-25.613342454244133,leaning left
313.969,0,8.4,83.7,Presence,22,-25.613342454244133,leaning left
314.060,0,8.4,83.7,Presence,22,-32.995137200259464,leaning left
314.153,0,8.4,83.7,Presence,22,,unknown
314.252,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
314.387,0,8.4,83.7,Presence,22,0.0,upright
314.429,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
314.526,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
314.600,0,8.4,83.7,Presence,22,-34.75680675775325,leaning left
314.683,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
314.793,0,8.4,83.7,Presence,22,,unknown
314.867,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
314.968,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
315.044,0,8.4,83.7,Presence,22,-24.98017138408771,leaning left
315.135,0,8.4,83.7,Presence,22,0.0,upright
315.227,0,8.4,83.7,Presence,22,-37.9698081982304,leaning left
315.316,0,8.4,83.7,Presence,22,,unknown
315.408,0,8.4,83.7,Presence,22,,unknown
315.501,0,8.4,83.7,Presence,22,-40.62711412815444,leaning left
315.590,0,8.4,83.7,Presence,22,-40.62711412815444,leaning left
315.694,0,8.4,83.7,Presence,22,-40.62711412815444,leaning left
315.824,0,8.4,83.7,Presence,22,0.0,upright
315.865,0,8.4,83.7,Presence,22,-40.62711412815444,leaning left
315.959,0,8.4,83.7,Presence,22,-39.03801846027704,leaning left
316.050,0,8.4,83.7,Presence,22,0.0,upright
316.143,0,8.4,83.7,Presence,22,0.0,upright
316.233,0,8.4,83.7,Presence,22,0.0,upright
316.326,0,8.4,83.7,Presence,22,0.0,upright
316.400,0,8.4,83.7,Presence,22,0.0,upright
316.486,0,8.4,83.7,Presence,22,0.0,upright
316.577,0,8.4,83.7,Presence,22,,unknown
316.686,0,8.4,83.7,Presence,22,-24.752439309454147,leaning left
316.761,0,8.4,83.7,Presence,22,,unknown
316.849,0,8.4,83.7,Presence,22,,unknown
316.936,0,8.4,83.7,Presence,22,-24.752439309454147,leaning left
317.044,0,8.4,83.7,Presence,22,0.0,upright
317.117,0,8.4,83.7,Presence,22,0.0,upright
317.257,0,16.7,83.7,Presence,22,-23.8732086910517,leaning left
317.307,0,16.7,83.7,Presence,22,-48.39194587082186,leaning left
317.402,0,16.7,83.7,Presence,22,-53.14836700206321,leaning left
317.493,0,16.7,83.7,Presence,22,-53.14836700206321,leaning left
317.568,0,16.7,83.7,Presence,22,-58.277162918017176,leaning left
317.676,0,16.7,83.7,Presence,22,-53.14836700206321,leaning left
317.759,0,16.7,83.7,Presence,22,-53.14836700206321,leaning left
317.852,0,16.7,83.7,Presence,22,-58.277162918017176,leaning left
317.944,0,16.7,83.7,Presence,22,-58.277162918017176,leaning left
318.027,0,16.7,83.7,Presence,22,-58.687024518517475,leaning left
318.127,0,16.7,83.7,Presence,22,-53.55822860256351,leaning left
318.211,0,16.7,83.7,Presence,22,-32.193019247540676,leaning left
318.303,0,16.7,83.7,Presence,22,0.0,upright
318.394,0,16.7,83.7,Presence,22,0.0,upright
318.467,0,16.7,83.7,Presence,22,,unknown
318.576,0,16.7,83.7,Presence,22,0.0,upright
318.696,0,16.7,83.7,Presence,22,0.0,upright
318.749,0,16.7,83.7,Presence,22,0.0,upright
318.840,0,16.7,83.7,Presence,22,0.0,upright
318.915,0,16.7,83.7,Presence,22,,unknown
319.010,0,16.7,83.7,Presence,22,,unknown
319.100,0,16.7,83.7,Presence,22,0.0,upright
319.204,0,16.7,83.7,Presence,22,0.0,upright
319.276,0,16.7,83.7,Presence,22,0.0,upright
319.366,0,16.7,83.7,Presence,22,,unknown
319.460,0,16.7,83.7,Presence,22,0.0,upright
319.563,0,16.7,83.7,Presence,22,0.0,upright
319.637,0,16.7,83.7,Presence,22,0.0,upright
319.727,0,16.7,83.7,Presence,22,0.0,upright
319.816,0,16.7,83.7,Presence,22,0.0,upright
319.909,0,16.7,83.7,Presence,22,,unknown
319.997,0,16.7,83.7,Presence,22,0.0,upright
320.135,0,16.7,83.7,Presence,22,0.0,upright
320.196,0,16.7,83.7,Presence,22,0.0,upright
320.291,0,16.7,83.7,Presence,22,0.0,upright
320.363,0,16.7,83.7,Presence,22,0.0,upright
320.446,0,16.7,83.7,Presence,22,0.0,upright
320.560,0,16.7,83.7,Presence,22,,unknown
320.643,0,16.7,83.7,Presence,22,0.0,upright
320.735,0,16.7,83.7,Presence,22,0.0,upright
320.809,0,16.7,83.7,Presence,22,0.0,upright
320.899,0,16.7,83.7,Presence,22,-22.19363925800876,leaning left
321.007,0,16.7,83.7,Presence,22,-22.19363925800876,leaning left
321.079,0,16.7,83.7,Presence,22,-24.991063594632337,leaning left
321.169,0,16.7,83.7,Presence,22,-24.991063594632337,leaning left
321.261,0,16.7,83.7,Presence,22,-31.491478470954803,leaning left
321.344,0,16.7,83.7,Presence,22,-31.491478470954803,leaning left
321.456,0,16.7,83.7,Presence,22,-28.774427597611165,leaning left
321.585,0,13.4,83.7,Presence,22,-28.774427597611165,leaning left
321.630,0,13.4,83.7,Presence,22,-31.491478470954803,leaning left
321.716,0,13.4,83.7,Presence,22,-33.203238986723164,leaning left
321.809,0,13.4,83.7,Presence,22,-28.774427597611165,leaning left
321.897,0,13.4,83.7,Presence,22,-25.369038899690082,leaning left
321.989,0,13.4,83.7,Presence,22,0.0,upright
322.081,0,13.4,83.7,Presence,22,-25.369038899690082,leaning left
322.168,0,13.4,83.7,Presence,22,20.898948689528545,leaning right
322.260,0,13.4,83.7,Presence,22,62.22564078827547,leaning right
322.342,0,13.4,83.7,Presence,22,0.0,upright
322.436,0,13.4,83.7,Presence,22,,unknown
322.526,0,13.4,83.7,Presence,22,0.0,upright
322.613,0,13.4,83.7,Presence,22,,unknown
322.709,0,13.4,83.7,Presence,22,34.29859089974063,leaning right
322.795,0,13.4,83.7,Presence,22,34.29859089974063,leaning right
322.888,0,13.4,83.7,Presence,22,0.0,upright
323.011,0,16.7,83.7,Presence,22,0.0,upright
323.069,0,16.7,83.7,Presence,22,0.0,upright
323.162,0,16.7,83.7,Presence,22,0.0,upright
323.252,0,16.7,83.7,Presence,22,0.0,upright
323.339,0,16.7,83.7,Presence,22,0.0,upright
323.430,0,16.7,83.7,Presence,22,0.0,upright
323.522,0,16.7,83.7,Presence,22,0.0,upright
323.611,0,16.7,83.7,Presence,22,0.0,upright
323.697,0,16.7,83.7,Presence,22,0.0,upright
323.794,0,16.7,83.7,Presence,22,0.0,upright
323.866,0,16.7,83.7,Presence,22,25.307421670735188,leaning right
323.958,0,16.7,83.7,Presence,22,25.307421670735188,leaning right
324.049,0,16.7,83.7,Presence,22,,unknown
324.135,0,16.7,83.7,Presence,22,25.307421670735188,leaning right
324.226,0,16.7,83.7,Presence,22,25.307421670735188,leaning right
324.334,0,16.7,83.7,Presence,22,-25.07135604945069,leaning left
324.449,0,16.7,83.7,Presence,23,-52.84321019188023,leaning left
324.499,0,16.7,83.7,Presence,23,-52.84321019188023,leaning left
324.586,0,16.7,83.7,Presence,23,-20.49115806422697,leaning left
324.677,0,16.7,83.7,Presence,23,-52.62786058332369,leaning left
324.783,0,16.7,83.7,Presence,23,-52.62786058332369,leaning left
324.860,0,16.7,83.7,Presence,23,-52.62786058332369,leaning left
324.950,0,16.7,83.7,Presence,23,-43.34038751970037,leaning left
325.042,0,16.7,83.7,Presence,23,-41.72435541212958,leaning left
325.144,0,16.7,83.7,Presence,23,-22.750378915355782,leaning left
325.233,0,16.7,83.7,Presence,23,0.0,upright
325.325,0,16.7,83.7,Presence,23,0.0,upright
325.400,0,16.7,83.7,Presence,23,0.0,upright
325.507,0,16.7,83.7,Presence,23,0.0,upright
325.593,0,16.7,83.7,Presence,23,0.0,upright
325.679,0,16.7,83.7,Presence,23,-27.611250377665556,leaning left
325.772,0,16.7,83.7,Presence,23,-41.72435541212958,leaning left
325.905,0,10.0,83.7,Presence,23,-61.380499614892386,leaning left
325.955,0,10.0,83.7,Presence,23,-74.99249473868987,leaning left
326.055,0,10.0,83.7,Presence,23,-74.99249473868987,leaning left
326.122,0,10.0,83.7,Presence,23,-77.82379978927378,leaning left
326.215,0,10.0,83.7,Presence,23,-78.89473967771116,leaning left
326.320,0,10.0,83.7,Presence,23,,unknown
326.394,0,10.0,83.7,Presence,23,-80.11731955002824,leaning left
326.486,0,10.0,83.7,Presence,23,-79.25264186072883,leaning left
326.581,0,10.0,83.7,Presence,23,-79.25264186072883,leaning left
326.661,0,10.0,83.7,Presence,23,-79.40428184460856,leaning left
326.745,0,10.0,83.7,Presence,23,-79.40428184460856,leaning left
326.836,0,10.0,83.7,Presence,23,-81.90525672632575,leaning left
326.945,0,10.0,83.7,Presence,23,-81.90525672632575,leaning left
327.018,0,10.0,83.7,Presence,23,-81.90525672632575,leaning left
327.110,0,10.0,83.7,Presence,23,-82.68793428751084,leaning left
327.210,0,10.0,83.7,Presence,23,,unknown
327.332,0,21.8,83.7,Presence,23,,unknown
327.381,0,21.8,83.7,Presence,23,-79.40428184460856,leaning left
327.465,0,21.8,83.7,Presence,23,-71.84044815656605,leaning left
327.557,0,21.8,83.7,Presence,23,,unknown
327.647,0,21.8,83.7,Presence,23,-58.83121195151426,leaning left
327.735,0,21.8,83.7,Presence,23,-22.8164168070645,leaning left
327.825,0,21.8,83.7,Presence,23,-22.8164168070645,leaning left
327.918,0,21.8,83.7,Presence,23,-58.83121195151426,leaning left
328.024,0,21.8,83.7,Presence,23,0.0,upright
328.115,0,21.8,83.7,Presence,23,-35.380456590957905,leaning left
328.199,0,21.8,83.7,Presence,23,0.0,upright
328.281,0,21.8,83.7,Presence,23,24.030715833780164,leaning right
