Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
900.111,0,16.7,88.7,Presence,20,,unknown
900.221,0,16.7,88.7,Presence,20,,unknown
900.339,0,16.7,88.7,Presence,20,,unknown
900.386,0,16.7,88.7,Presence,20,,unknown
900.465,0,16.7,88.7,Presence,20,,unknown
900.560,0,16.7,88.7,Presence,20,,unknown
900.654,0,16.7,88.7,Presence,20,,unknown
900.748,0,16.7,88.7,Presence,20,,unknown
900.840,0,16.7,88.7,Presence,20,,unknown
900.921,0,16.7,88.7,Presence,20,,unknown
901.016,0,16.7,88.7,Presence,20,,unknown
901.095,0,16.7,88.7,Presence,20,,unknown
901.205,0,16.7,88.7,Presence,20,-63.65533454418296,leaning left
901.284,0,16.7,88.7,Presence,20,,unknown
901.373,0,16.7,88.7,Presence,20,,unknown
901.470,0,16.7,88.7,Presence,20,,unknown
901.545,0,16.7,88.7,Presence,20,,unknown
901.641,0,16.7,88.7,Presence,20,,unknown
901.781,0,16.7,88.7,Presence,20,,unknown
901.828,0,16.7,88.7,Presence,20,,unknown
901.906,0,16.7,88.7,Presence,20,,unknown
902.001,0,16.7,88.7,Presence,20,,unknown
902.095,0,16.7,88.7,Presence,20,,unknown
902.205,0,16.7,88.7,Presence,20,-63.65533454418296,leaning left
902.271,0,16.7,88.7,Presence,20,,unknown
902.369,0,16.7,88.7,Presence,20,,unknown
902.451,0,16.7,88.7,Presence,20,,unknown
902.546,0,16.7,88.7,Presence,20,,unknown
902.640,0,16.7,88.7,Presence,20,,unknown
902.729,0,16.7,88.7,Presence,20,,unknown
902.813,0,16.7,88.7,Presence,20,,unknown
902.907,0,16.7,88.7,Presence,20,,unknown
902.995,0,16.7,88.7,Presence,20,,unknown
903.097,0,16.7,88.7,Presence,20,-21.90884725617181,leaning left
903.223,0,16.7,88.7,Presence,20,32.64117976901525,leaning right
903.272,0,16.7,88.7,Presence,20,,unknown
903.369,0,16.7,88.7,Presence,20,,unknown
903.451,0,16.7,88.7,Presence,20,,unknown
903.546,0,16.7,88.7,Presence,20,,unknown
903.640,0,16.7,88.7,Presence,20,,unknown
903.723,0,16.7,88.7,Presence,20,,unknown
903.813,0,16.7,88.7,Presence,20,,unknown
903.907,0,16.7,88.7,Presence,20,,unknown
903.986,0,16.7,88.7,Presence,20,,unknown
904.096,0,16.7,88.7,Presence,20,-41.22238467462101,leaning left
904.175,0,16.7,88.7,Presence,20,,unknown
904.269,0,16.7,88.7,Presence,20,,unknown
904.348,0,16.7,88.7,Presence,20,,unknown
904.445,0,16.7,88.7,Presence,20,,unknown
904.531,0,16.7,88.7,Presence,20,,unknown
904.673,0,16.7,88.7,Presence,20,,unknown
904.720,0,16.7,88.7,Presence,20,,unknown
904.799,0,16.7,88.7,Presence,20,,unknown
904.893,0,16.7,88.7,Presence,20,,unknown
904.989,0,16.7,88.7,Presence,20,,unknown
905.068,0,16.7,88.7,Presence,20,,unknown
905.162,0,16.7,88.7,Presence,20,,unknown
905.257,0,16.7,88.7,Presence,20,,unknown
905.347,0,16.7,88.7,Presence,20,,unknown
905.437,0,16.7,88.7,Presence,20,,unknown
905.517,0,16.7,88.7,Presence,20,,unknown
905.612,0,16.7,88.7,Presence,20,,unknown
905.707,0,16.7,88.7,Presence,20,,unknown
905.785,0,16.7,88.7,Presence,20,,unknown
905.880,0,16.7,88.7,Presence,20,,unknown
905.974,0,16.7,88.7,Presence,20,,unknown
906.100,0,16.7,88.7,Presence,20,,unknown
906.148,0,16.7,88.7,Presence,20,,unknown
906.248,0,16.7,88.7,Presence,20,,unknown
906.337,0,16.7,88.7,Presence,20,,unknown
906.422,0,16.7,88.7,Presence,20,,unknown
906.516,0,16.7,88.7,Presence,20,,unknown
906.597,0,16.7,88.7,Presence,20,,unknown
906.690,0,16.7,88.7,Presence,20,,unknown
906.784,0,16.7,88.7,Presence,20,,unknown
906.879,0,16.7,88.7,Presence,20,,unknown
906.958,0,16.7,88.7,Presence,20,,unknown
907.056,0,16.7,88.7,Presence,20,,unknown
907.148,0,16.7,88.7,Presence,20,,unknown
907.239,0,16.7,88.7,Presence,20,,unknown
907.321,0,16.7,88.7,Presence,20,,unknown
907.419,0,16.7,88.7,Presence,20,,unknown
907.549,0,16.7,88.7,Presence,20,,unknown
907.595,0,16.7,88.7,Presence,20,,unknown
907.690,0,16.7,88.7,Presence,20,,unknown
907.768,0,16.7,88.7,Presence,20,,unknown
907.863,0,16.7,88.7,Presence,20,,unknown
907.958,0,16.7,88.7,Presence,20,,unknown
908.050,0,16.7,88.7,Presence,20,,unknown
908.130,0,16.7,88.7,Presence,20,,unknown
908.225,0,16.7,88.7,Presence,20,,unknown
908.320,0,16.7,88.7,Presence,20,,unknown
908.410,0,16.7,88.7,Presence,20,,unknown
908.487,0,16.7,88.7,Presence,20,,unknown
908.581,0,16.7,88.7,Presence,20,,unknown
908.676,0,16.7,88.7,Presence,20,,unknown
908.755,0,16.7,88.7,Presence,20,,unknown
908.851,0,16.7,88.7,Presence,20,-31.724276930450827,leaning left
908.991,0,16.7,88.7,Presence,20,0.0,upright
909.039,0,16.7,88.7,Presence,20,,unknown
909.118,0,16.7,88.7,Presence,20,,unknown
909.213,0,16.7,88.7,Presence,20,,unknown
909.308,0,16.7,88.7,Presence,20,,unknown
909.387,0,16.7,88.7,Presence,20,,unknown
909.489,0,16.7,88.7,Presence,20,,unknown
909.568,0,16.7,88.7,Presence,20,,unknown
909.663,0,16.7,88.7,Presence,20,,unknown
909.757,0,16.7,88.7,Presence,20,,unknown
909.836,0,16.7,88.7,Presence,20,,unknown
909.930,0,16.7,88.7,Presence,20,,unknown
910.025,0,16.7,88.7,Presence,20,,unknown
910.119,0,16.7,88.7,Presence,20,,unknown
910.198,0,16.7,88.7,Presence,20,,unknown
910.293,0,16.7,88.7,Presence,20,,unknown
910.434,0,8.4,88.7,Presence,20,,unknown
910.479,0,8.4,88.7,Presence,20,,unknown
910.570,0,8.4,88.7,Presence,20,,unknown
910.655,0,8.4,88.7,Presence,20,,unknown
910.743,0,8.4,88.7,Presence,20,,unknown
910.839,0,8.4,88.7,Presence,20,,unknown
910.916,0,8.4,88.7,Presence,20,,unknown
911.011,0,8.4,88.7,Presence,20,,unknown
911.106,0,8.4,88.7,Presence,20,,unknown
911.201,0,8.4,88.7,Presence,20,,unknown
911.280,0,8.4,88.7,Presence,20,,unknown
911.375,0,8.4,88.7,Presence,20,,unknown
911.469,0,8.4,88.7,Presence,20,,unknown
911.556,0,8.4,88.7,Presence,20,,unknown
911.648,0,8.4,88.7,Presence,20,,unknown
911.739,0,8.4,88.7,Presence,20,0.0,upright
911.869,0,10.0,88.7,Presence,20,0.0,upright
911.916,0,10.0,88.7,Presence,20,,unknown
911.995,0,10.0,88.7,Presence,20,,unknown
912.089,0,10.0,88.7,Presence,20,,unknown
912.184,0,10.0,88.7,Presence,20,,unknown
912.279,0,10.0,88.7,Presence,20,,unknown
912.357,0,10.0,88.7,Presence,20,,unknown
912.457,0,10.0,88.7,Presence,20,,unknown
912.537,0,10.0,88.7,Presence,20,,unknown
912.632,0,10.0,88.7,Presence,20,,unknown
912.727,0,10.0,88.7,Presence,20,,unknown
912.806,0,10.0,88.7,Presence,20,,unknown
912.900,0,10.0,88.7,Presence,20,,unknown
912.994,0,10.0,88.7,Presence,20,,unknown
913.088,0,10.0,88.7,Presence,20,,unknown
913.167,0,10.0,88.7,Presence,20,,unknown
913.293,0,N/A,88.7,Holding Breath,20,,unknown
913.359,0,N/A,88.7,Holding Breath,20,,unknown
913.435,0,N/A,88.7,Holding Breath,20,,unknown
913.539,0,N/A,88.7,Holding Breath,20,,unknown
913.617,0,N/A,88.7,Holding Breath,20,,unknown
913.712,0,N/A,88.7,Holding Breath,20,,unknown
913.806,0,N/A,88.7,Holding Breath,20,,unknown
913.885,0,N/A,88.7,Holding Breath,20,,unknown
913.980,0,N/A,88.7,Holding Breath,20,,unknown
914.075,0,N/A,88.7,Holding Breath,20,,unknown
914.169,0,N/A,88.7,Holding Breath,20,,unknown
914.259,0,N/A,88.7,Holding Breath,20,,unknown
914.349,0,N/A,88.7,Holding Breath,20,,unknown
914.437,0,N/A,88.7,Holding Breath,20,,unknown
914.530,0,N/A,88.7,Holding Breath,20,,unknown
914.619,0,N/A,88.7,Holding Breath,20,,unknown
914.745,0,20.1,88.7,Presence,20,,unknown
914.791,0,20.1,88.7,Presence,20,,unknown
914.886,0,20.1,88.7,Presence,20,,unknown
914.965,0,20.1,88.7,Presence,20,,unknown
915.061,0,20.1,88.7,Presence,20,,unknown
915.161,0,20.1,88.7,Presence,20,,unknown
915.249,0,20.1,88.7,Presence,20,,unknown
915.328,0,20.1,88.7,Presence,20,,unknown
915.423,0,20.1,88.7,Presence,20,,unknown
915.517,0,20.1,88.7,Presence,20,,unknown
915.602,0,20.1,88.7,Presence,20,0.0,upright
915.696,0,20.1,88.7,Presence,20,0.0,upright
915.775,0,20.1,88.7,Presence,20,,unknown
915.869,0,20.1,88.7,Presence,20,,unknown
915.964,0,20.1,88.7,Presence,20,,unknown
916.057,0,20.1,88.7,Presence,20,,unknown
916.168,0,20.1,88.7,Presence,20,,unknown
916.247,0,20.1,88.7,Presence,20,0.0,upright
916.325,0,20.1,88.7,Presence,20,0.0,upright
916.420,0,20.1,88.7,Presence,20,0.0,upright
916.523,0,20.1,88.7,Presence,20,37.26205935265246,leaning right
916.603,0,20.1,88.7,Presence,20,37.26205935265246,leaning right
916.698,0,20.1,88.7,Presence,20,51.33715438663738,leaning right
916.777,0,20.1,88.7,Presence,20,59.52333347540832,leaning right
916.887,0,20.1,88.7,Presence,20,60.481718420437375,leaning right
916.967,0,20.1,88.7,Presence,20,62.209946229606516,leaning right
917.061,0,20.1,88.7,Presence,20,62.209946229606516,leaning right
917.140,0,20.1,88.7,Presence,20,62.209946229606516,leaning right
917.235,0,20.1,88.7,Presence,20,62.209946229606516,leaning right
917.329,0,20.1,88.7,Presence,20,62.209946229606516,leaning right
917.409,0,20.1,88.7,Presence,20,58.64879830280165,leaning right
917.504,0,20.1,88.7,Presence,20,,unknown
917.619,0,15.1,88.7,Presence,20,,unknown
917.682,0,15.1,88.7,Presence,20,58.64879830280165,leaning right
917.765,0,15.1,88.7,Presence,20,62.295137946022884,leaning right
917.865,0,15.1,88.7,Presence,20,58.64879830280165,leaning right
917.968,0,15.1,88.7,Presence,20,53.774073563035614,leaning right
918.046,0,15.1,88.7,Presence,20,46.93472414151026,leaning right
918.125,0,15.1,88.7,Presence,20,46.93472414151026,leaning right
918.219,0,15.1,88.7,Presence,20,46.93472414151026,leaning right
918.317,0,15.1,88.7,Presence,20,50.70728889678467,leaning right
918.415,0,15.1,88.7,Presence,20,46.93472414151026,leaning right
918.486,0,15.1,88.7,Presence,20,,unknown
918.572,0,15.1,88.7,Presence,20,,unknown
918.666,0,15.1,88.7,Presence,20,46.93472414151026,leaning right
918.761,0,15.1,88.7,Presence,20,50.70728889678467,leaning right
918.840,0,15.1,88.7,Presence,20,,unknown
918.918,0,15.1,88.7,Presence,20,45.354202340654155,leaning right
919.061,0,20.1,88.7,Presence,20,39.92272698535025,leaning right
919.124,0,20.1,88.7,Presence,20,37.904977143133436,leaning right
919.203,0,20.1,88.7,Presence,20,37.904977143133436,leaning right
919.297,0,20.1,88.7,Presence,20,28.6058162432319,leaning right
919.391,0,20.1,88.7,Presence,20,28.6058162432319,leaning right
919.489,0,20.1,88.7,Presence,20,,unknown
919.573,0,20.1,88.7,Presence,20,24.9389618674048,leaning right
919.652,0,20.1,88.7,Presence,20,24.9389618674048,leaning right
919.746,0,20.1,88.7,Presence,20,0.0,upright
919.841,0,20.1,88.7,Presence,20,0.0,upright
919.935,0,20.1,88.7,Presence,20,0.0,upright
919.998,0,20.1,88.7,Presence,20,,unknown
920.092,0,20.1,88.7,Presence,20,,unknown
920.186,0,20.1,88.7,Presence,20,0.0,upright
920.268,0,20.1,88.7,Presence,20,,unknown
920.377,0,20.1,88.7,Presence,20,24.911551280565575,leaning right
920.503,0,20.1,88.7,Presence,17,38.0393794766468,leaning right
920.560,0,20.1,88.7,Presence,17,,unknown
920.637,0,20.1,88.7,Presence,17,,unknown
920.731,0,20.1,88.7,Presence,17,,unknown
920.826,0,20.1,88.7,Presence,17,,unknown
920.920,0,20.1,88.7,Presence,17,,unknown
920.999,0,20.1,88.7,Presence,17,,unknown
921.094,0,20.1,88.7,Presence,17,,unknown
921.188,0,20.1,88.7,Presence,17,,unknown
921.270,0,20.1,88.7,Presence,17,38.0393794766468,leaning right
921.371,0,20.1,88.7,Presence,17,24.911551280565575,leaning right
921.456,0,20.1,88.7,Presence,17,24.911551280565575,leaning right
921.550,0,20.1,88.7,Presence,17,24.911551280565575,leaning right
921.640,0,20.1,88.7,Presence,17,,unknown
921.734,0,20.1,88.7,Presence,17,24.911551280565575,leaning right
921.797,0,20.1,88.7,Presence,17,,unknown
921.938,0,13.4,88.7,Presence,17,,unknown
922.002,0,13.4,88.7,Presence,17,24.911551280565575,leaning right
922.080,0,13.4,88.7,Presence,17,0.0,upright
922.159,0,13.4,88.7,Presence,17,,unknown
922.272,0,13.4,88.7,Presence,17,0.0,upright
922.364,0,13.4,88.7,Presence,17,,unknown
922.443,0,13.4,88.7,Presence,17,0.0,upright
922.521,0,13.4,88.7,Presence,17,0.0,upright
922.621,0,13.4,88.7,Presence,17,0.0,upright
922.702,0,13.4,88.7,Presence,17,0.0,upright
922.797,0,13.4,88.7,Presence,17,0.0,upright
922.889,0,13.4,88.7,Presence,17,,unknown
922.987,0,13.4,88.7,Presence,17,0.0,upright
923.082,0,13.4,88.7,Presence,17,0.0,upright
923.160,0,13.4,88.7,Presence,17,,unknown
923.255,0,13.4,88.7,Presence,17,,unknown
923.390,0,N/A,88.7,Holding Breath,17,,unknown
923.430,0,N/A,88.7,Holding Breath,17,0.0,upright
923.524,0,N/A,88.7,Holding Breath,17,,unknown
923.604,0,N/A,88.7,Holding Breath,17,0.0,upright
923.703,0,N/A,88.7,Holding Breath,17,0.0,upright
923.798,0,N/A,88.7,Holding Breath,17,0.0,upright
923.892,0,N/A,88.7,Holding Breath,17,,unknown
923.986,0,N/A,88.7,Holding Breath,17,0.0,upright
924.074,0,N/A,88.7,Holding Breath,17,0.0,upright
924.160,0,N/A,88.7,Holding Breath,17,0.0,upright
924.254,0,N/A,88.7,Holding Breath,17,,unknown
924.325,0,N/A,88.7,Holding Breath,17,,unknown
924.412,0,N/A,88.7,Holding Breath,17,,unknown
924.507,0,N/A,88.7,Holding Breath,17,,unknown
924.587,0,N/A,88.7,Holding Breath,17,0.0,upright
924.703,0,N/A,88.7,Holding Breath,17,0.0,upright
924.829,0,N/A,88.7,Holding Breath,17,0.0,upright
924.876,0,N/A,88.7,Holding Breath,17,0.0,upright
924.955,0,N/A,88.7,Holding Breath,17,,unknown
925.052,0,N/A,88.7,Holding Breath,17,,unknown
925.145,0,N/A,88.7,Holding Breath,17,,unknown
925.240,0,N/A,88.7,Holding Breath,17,,unknown
925.322,0,N/A,88.7,Holding Breath,17,,unknown
925.419,0,N/A,88.7,Holding Breath,17,,unknown
925.509,0,N/A,88.7,Holding Breath,17,,unknown
925.588,0,N/A,88.7,Holding Breath,17,,unknown
925.688,0,N/A,88.7,Holding Breath,17,,unknown
925.777,0,N/A,88.7,Holding Breath,17,,unknown
925.861,0,N/A,88.7,Holding Breath,17,,unknown
925.955,0,N/A,88.7,Holding Breath,17,,unknown
926.049,0,N/A,88.7,Holding Breath,17,,unknown
926.128,0,N/A,88.7,Holding Breath,17,,unknown
926.269,0,N/A,88.7,Holding Breath,17,,unknown
926.317,0,N/A,88.7,Holding Breath,17,,unknown
926.396,0,N/A,88.7,Holding Breath,17,,unknown
926.491,0,N/A,88.7,Holding Breath,17,,unknown
926.586,0,N/A,88.7,Holding Breath,17,,unknown
926.679,0,N/A,88.7,Holding Breath,17,,unknown
926.768,0,N/A,88.7,Holding Breath,17,,unknown
926.848,0,N/A,88.7,Holding Breath,17,,unknown
926.948,0,N/A,88.7,Holding Breath,17,,unknown
927.036,0,N/A,88.7,Holding Breath,17,,unknown
927.131,0,N/A,88.7,Holding Breath,17,27.03604926573655,leaning right
927.209,0,N/A,88.7,Holding Breath,17,,unknown
927.305,0,N/A,88.7,Holding Breath,17,,unknown
