Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
8.067,0,N/A,N/A,No Patient Detected,0,,unknown
8.157,0,N/A,N/A,No Patient Detected,0,,unknown
8.243,0,N/A,N/A,No Patient Detected,0,,unknown
8.331,0,N/A,N/A,No Patient Detected,0,,unknown
8.417,0,N/A,N/A,No Patient Detected,0,,unknown
8.511,0,N/A,N/A,No Patient Detected,0,,unknown
8.606,0,N/A,N/A,No Patient Detected,0,,unknown
8.684,0,N/A,N/A,No Patient Detected,0,,unknown
8.779,0,N/A,N/A,No Patient Detected,0,,unknown
8.877,0,N/A,N/A,No Patient Detected,0,,unknown
8.966,0,N/A,N/A,No Patient Detected,0,,unknown
9.073,0,N/A,N/A,No Patient Detected,0,,unknown
9.161,0,N/A,N/A,No Patient Detected,0,,unknown
9.256,0,N/A,N/A,No Patient Detected,0,,unknown
9.335,0,N/A,N/A,No Patient Detected,0,,unknown
9.461,0,N/A,75.3,Holding Breath,15,-89.37636014906938,leaning left
9.510,0,N/A,75.3,Holding Breath,15,-84.30538386290023,leaning left
9.620,0,N/A,75.3,Holding Breath,15,-88.62039992576811,leaning left
9.710,0,N/A,75.3,Holding Breath,15,-83.92740375124959,leaning left
9.794,0,N/A,75.3,Holding Breath,15,-79.23440757673107,leaning left
9.874,0,N/A,75.3,Holding Breath,15,-78.40393410150156,leaning left
9.944,0,N/A,75.3,Holding Breath,15,-77.57346062627205,leaning left
10.055,0,N/A,75.3,Holding Breath,15,-76.08338848401846,leaning left
10.149,0,N/A,75.3,Holding Breath,15,-74.59331634176488,leaning left
10.230,0,N/A,75.3,Holding Breath,15,,unknown
10.308,0,N/A,75.3,Holding Breath,15,-76.08338848401846,leaning left
10.403,0,N/A,75.3,Holding Breath,15,-67.04001348526927,leaning left
10.513,0,N/A,75.3,Holding Breath,15,-67.04001348526927,leaning left
10.576,0,N/A,75.3,Holding Breath,15,,unknown
10.677,0,N/A,75.3,Holding Breath,15,,unknown
10.782,0,N/A,75.3,Holding Breath,15,,unknown
10.893,0,N/A,75.3,Holding Breath,20,,unknown
10.946,0,N/A,75.3,Holding Breath,20,,unknown
11.036,0,N/A,75.3,Holding Breath,20,,unknown
11.118,0,N/A,75.3,Holding Breath,20,,unknown
11.215,0,N/A,75.3,Holding Breath,20,,unknown
11.306,0,N/A,75.3,Holding Breath,20,,unknown
11.419,0,N/A,75.3,Holding Breath,20,-20.197126710107046,leaning left
11.483,0,N/A,75.3,Holding Breath,20,41.73704050158706,leaning right
11.593,0,N/A,75.3,Holding Breath,20,41.73704050158706,leaning right
11.671,0,N/A,75.3,Holding Breath,20,41.73704050158706,leaning right
11.766,0,N/A,75.3,Holding Breath,20,0.0,upright
11.845,0,N/A,75.3,Holding Breath,20,0.0,upright
11.952,0,N/A,75.3,Holding Breath,20,27.207954981088633,leaning right
12.044,0,N/A,75.3,Holding Breath,20,60.83501872043292,leaning right
