Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
600.097,0,15.1,83.7,Presence,24,0.0,upright
600.191,0,15.1,83.7,Presence,24,0.0,upright
600.269,0,15.1,83.7,Presence,24,,unknown
600.362,0,15.1,83.7,Presence,24,,unknown
600.454,0,15.1,83.7,Presence,24,0.0,upright
600.535,0,15.1,83.7,Presence,24,,unknown
600.627,0,15.1,83.7,Presence,24,34.81205677480075,leaning right
600.721,0,15.1,83.7,Presence,24,41.41186570397343,leaning right
600.799,0,15.1,83.7,Presence,24,41.41186570397343,leaning right
600.894,0,15.1,83.7,Presence,24,,unknown
601.036,0,15.1,83.7,Presence,24,,unknown
601.067,0,15.1,83.7,Presence,24,,unknown
601.162,0,15.1,83.7,Presence,24,41.41186570397343,leaning right
601.256,0,15.1,83.7,Presence,24,,unknown
601.351,0,15.1,83.7,Presence,24,,unknown
601.440,0,15.1,83.7,Presence,24,,unknown
601.518,0,15.1,83.7,Presence,24,,unknown
601.612,0,15.1,83.7,Presence,24,,unknown
601.707,0,15.1,83.7,Presence,24,,unknown
601.800,0,15.1,83.7,Presence,24,,unknown
601.879,0,15.1,83.7,Presence,24,,unknown
601.974,0,15.1,83.7,Presence,24,,unknown
602.069,0,15.1,83.7,Presence,24,,unknown
602.163,0,15.1,83.7,Presence,24,41.41186570397343,leaning right
602.242,0,15.1,83.7,Presence,24,,unknown
602.338,0,15.1,83.7,Presence,24,,unknown
602.471,0,13.4,83.7,Presence,24,,unknown
602.518,0,13.4,83.7,Presence,24,,unknown
602.612,0,13.4,83.7,Presence,24,41.41186570397343,leaning right
602.691,0,13.4,83.7,Presence,24,,unknown
602.793,0,13.4,83.7,Presence,24,,unknown
602.880,0,13.4,83.7,Presence,24,,unknown
602.959,0,13.4,83.7,Presence,24,,unknown
603.053,0,13.4,83.7,Presence,24,,unknown
603.147,0,13.4,83.7,Presence,24,,unknown
603.243,0,13.4,83.7,Presence,24,,unknown
603.341,0,13.4,83.7,Presence,24,41.41186570397343,leaning right
603.409,0,13.4,83.7,Presence,24,,unknown
603.504,0,13.4,83.7,Presence,24,,unknown
603.598,0,13.4,83.7,Presence,24,,unknown
603.692,0,13.4,83.7,Presence,24,,unknown
603.776,0,13.4,83.7,Presence,24,,unknown
603.918,0,15.1,83.7,Presence,24,,unknown
603.961,0,15.1,83.7,Presence,24,,unknown
