Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
9.229,0,N/A,N/A,No Patient Detected,0,,unknown
9.318,0,N/A,N/A,No Patient Detected,0,,unknown
9.411,0,N/A,N/A,No Patient Detected,0,,unknown
9.505,0,N/A,N/A,No Patient Detected,0,,unknown
9.584,0,N/A,N/A,No Patient Detected,0,,unknown
9.678,0,N/A,N/A,No Patient Detected,0,,unknown
9.772,0,N/A,N/A,No Patient Detected,0,,unknown
9.867,0,N/A,N/A,No Patient Detected,0,,unknown
9.930,0,N/A,N/A,No Patient Detected,0,,unknown
10.040,0,N/A,N/A,No Patient Detected,0,,unknown
10.118,0,N/A,N/A,No Patient Detected,0,,unknown
10.228,0,N/A,N/A,No Patient Detected,0,,unknown
10.310,0,N/A,N/A,No Patient Detected,0,,unknown
10.405,0,N/A,N/A,No Patient Detected,0,,unknown
10.483,0,N/A,N/A,No Patient Detected,0,,unknown
10.609,0,N/A,77.0,Holding Breath,8,,unknown
10.687,0,N/A,77.0,Holding Breath,8,88.73649755738992,leaning right
10.766,0,N/A,77.0,Holding Breath,8,0.0,upright
10.851,0,N/A,77.0,Holding Breath,8,88.73649755738992,leaning right
10.938,0,N/A,77.0,Holding Breath,8,,unknown
11.032,0,N/A,77.0,Holding Breath,8,88.96855202367473,leaning right
11.112,0,N/A,77.0,Holding Breath,8,,unknown
11.190,0,N/A,77.0,Holding Breath,8,,unknown
11.292,0,N/A,77.0,Holding Breath,8,,unknown
11.377,0,N/A,77.0,Holding Breath,8,88.73649755738992,leaning right
11.471,0,N/A,77.0,Holding Breath,8,80.42256671661224,leaning right
11.552,0,N/A,77.0,Holding Breath,8,,unknown
11.652,0,N/A,77.0,Holding Breath,8,,unknown
11.739,0,N/A,77.0,Holding Breath,8,,unknown
11.817,0,N/A,77.0,Holding Breath,8,,unknown
11.928,0,N/A,77.0,Holding Breath,8,,unknown
12.053,0,N/A,77.0,Holding Breath,18,,unknown
12.101,0,N/A,77.0,Holding Breath,18,,unknown
12.179,0,N/A,77.0,Holding Breath,18,72.10863587583454,leaning right
12.274,0,N/A,77.0,Holding Breath,18,80.4084335757321,leaning right
12.376,0,N/A,77.0,Holding Breath,18,72.36995224006586,leaning right
12.471,0,N/A,77.0,Holding Breath,18,72.23929405795019,leaning right
12.565,0,N/A,77.0,Holding Breath,18,,unknown
12.662,0,N/A,77.0,Holding Breath,18,,unknown
12.754,0,N/A,77.0,Holding Breath,18,68.71951416742782,leaning right
12.832,0,N/A,77.0,Holding Breath,18,68.71951416742782,leaning right
12.913,0,N/A,77.0,Holding Breath,18,,unknown
13.007,0,N/A,77.0,Holding Breath,18,65.23427135230034,leaning right
13.101,0,N/A,77.0,Holding Breath,18,64.37423474901692,leaning right
13.180,0,N/A,77.0,Holding Breath,18,64.37423474901692,leaning right
13.275,0,N/A,77.0,Holding Breath,18,58.300532008536265,leaning right
13.353,0,N/A,77.0,Holding Breath,18,,unknown
13.488,0,N/A,77.0,Holding Breath,18,,unknown
13.553,0,N/A,77.0,Holding Breath,18,61.875701123339304,leaning right
13.629,0,N/A,77.0,Holding Breath,18,56.56591387942128,leaning right
13.708,0,N/A,77.0,Holding Breath,18,,unknown
13.817,0,N/A,77.0,Holding Breath,18,56.174990367597,leaning right
13.912,0,N/A,77.0,Holding Breath,18,59.50841704360648,leaning right
13.990,0,N/A,77.0,Holding Breath,18,58.809647499380645,leaning right
14.085,0,N/A,77.0,Holding Breath,18,58.809647499380645,leaning right
14.179,0,N/A,77.0,Holding Breath,18,58.809647499380645,leaning right
14.258,0,N/A,77.0,Holding Breath,18,55.62540189640189,leaning right
14.346,0,N/A,77.0,Holding Breath,18,,unknown
14.439,0,N/A,77.0,Holding Breath,18,58.809647499380645,leaning right
14.534,0,N/A,77.0,Holding Breath,18,58.809647499380645,leaning right
14.612,0,N/A,77.0,Holding Breath,18,,unknown
14.707,0,N/A,77.0,Holding Breath,18,,unknown
14.801,0,N/A,77.0,Holding Breath,18,35.01949819883748,leaning right
14.927,0,10.0,77.0,Presence,27,35.01949819883748,leaning right
14.976,0,10.0,77.0,Presence,27,,unknown
15.069,0,10.0,77.0,Presence,27,,unknown
15.164,0,10.0,77.0,Presence,27,,unknown
15.256,0,10.0,77.0,Presence,27,,unknown
15.346,0,10.0,77.0,Presence,27,,unknown
15.426,0,10.0,77.0,Presence,27,,unknown
15.520,0,10.0,77.0,Presence,27,,unknown
15.614,0,10.0,77.0,Presence,27,,unknown
15.693,0,10.0,77.0,Presence,27,,unknown
15.787,0,10.0,77.0,Presence,27,,unknown
15.882,0,10.0,77.0,Presence,27,,unknown
15.976,0,10.0,77.0,Presence,27,,unknown
16.057,0,10.0,77.0,Presence,27,,unknown
16.157,0,10.0,77.0,Presence,27,0.0,upright
16.243,0,10.0,77.0,Presence,27,,unknown
16.378,0,N/A,77.0,Holding Breath,21,,unknown
16.425,0,N/A,77.0,Holding Breath,21,,unknown
16.504,0,N/A,77.0,Holding Breath,21,,unknown
16.598,0,N/A,77.0,Holding Breath,21,,unknown
16.692,0,N/A,77.0,Holding Breath,21,,unknown
16.772,0,N/A,77.0,Holding Breath,21,,unknown
16.866,0,N/A,77.0,Holding Breath,21,,unknown
16.960,0,N/A,77.0,Holding Breath,21,,unknown
17.055,0,N/A,77.0,Holding Breath,21,,unknown
17.133,0,N/A,77.0,Holding Breath,21,0.0,upright
17.228,0,N/A,77.0,Holding Breath,21,0.0,upright
17.322,0,N/A,77.0,Holding Breath,21,0.0,upright
17.410,0,N/A,77.0,Holding Breath,21,,unknown
17.503,0,N/A,77.0,Holding Breath,21,-42.957828011406406,leaning left
17.598,0,N/A,77.0,Holding Breath,21,,unknown
17.692,0,N/A,77.0,Holding Breath,21,,unknown
17.818,0,N/A,77.0,Holding Breath,21,,unknown
17.865,0,N/A,77.0,Holding Breath,21,0.0,upright
17.959,0,N/A,77.0,Holding Breath,21,0.0,upright
18.059,0,N/A,77.0,Holding Breath,21,0.0,upright
18.160,0,N/A,77.0,Holding Breath,21,0.0,upright
18.235,0,N/A,77.0,Holding Breath,21,0.0,upright
18.320,0,N/A,77.0,Holding Breath,21,0.0,upright
18.410,0,N/A,77.0,Holding Breath,21,-26.489064595127388,leaning left
18.520,0,N/A,77.0,Holding Breath,21,-31.326531638903745,leaning left
18.599,0,N/A,77.0,Holding Breath,21,-31.326531638903745,leaning left
18.678,0,N/A,77.0,Holding Breath,21,,unknown
18.773,0,N/A,77.0,Holding Breath,21,-26.489064595127388,leaning left
18.860,0,N/A,77.0,Holding Breath,21,,unknown
18.945,0,N/A,77.0,Holding Breath,21,-26.489064595127388,leaning left
19.039,0,N/A,77.0,Holding Breath,21,-26.489064595127388,leaning left
19.118,0,N/A,77.0,Holding Breath,21,0.0,upright
19.261,0,N/A,77.0,Holding Breath,21,0.0,upright
19.306,0,N/A,77.0,Holding Breath,21,,unknown
19.394,0,N/A,77.0,Holding Breath,21,,unknown
19.473,0,N/A,77.0,Holding Breath,21,,unknown
