Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
1200.227,0,13.4,87.1,Presence,19,,unknown
1200.322,0,13.4,87.1,Presence,19,,unknown
1200.417,0,13.4,87.1,Presence,19,,unknown
1200.506,0,13.4,87.1,Presence,19,,unknown
1200.613,0,13.4,87.1,Presence,19,27.165286842579775,leaning right
1200.738,0,13.4,87.1,Presence,19,27.165286842579775,leaning right
1200.786,0,13.4,87.1,Presence,19,,unknown
1200.865,0,13.4,87.1,Presence,19,,unknown
1200.960,0,13.4,87.1,Presence,19,,unknown
1201.056,0,13.4,87.1,Presence,19,,unknown
1201.134,0,13.4,87.1,Presence,19,,unknown
1201.231,0,13.4,87.1,Presence,19,,unknown
1201.325,0,13.4,87.1,Presence,19,,unknown
1201.404,0,13.4,87.1,Presence,19,,unknown
1201.504,0,13.4,87.1,Presence,19,,unknown
1201.599,0,13.4,87.1,Presence,19,27.165286842579775,leaning right
1201.676,0,13.4,87.1,Presence,19,,unknown
1201.771,0,13.4,87.1,Presence,19,,unknown
1201.866,0,13.4,87.1,Presence,19,,unknown
1201.945,0,13.4,87.1,Presence,19,,unknown
1202.039,0,13.4,87.1,Presence,19,,unknown
1202.165,0,13.4,87.1,Presence,19,,unknown
1202.213,0,13.4,87.1,Presence,19,,unknown
1202.308,0,13.4,87.1,Presence,19,,unknown
1202.405,0,13.4,87.1,Presence,19,,unknown
1202.481,0,13.4,87.1,Presence,19,,unknown
1202.581,0,13.4,87.1,Presence,19,,unknown
1202.676,0,13.4,87.1,Presence,19,,unknown
1202.755,0,13.4,87.1,Presence,19,,unknown
1202.850,0,13.4,87.1,Presence,19,,unknown
1202.943,0,13.4,87.1,Presence,19,,unknown
1203.023,0,13.4,87.1,Presence,19,,unknown
1203.118,0,13.4,87.1,Presence,19,,unknown
1203.212,0,13.4,87.1,Presence,19,,unknown
1203.306,0,13.4,87.1,Presence,19,,unknown
1203.386,0,13.4,87.1,Presence,19,,unknown
1203.483,0,13.4,87.1,Presence,19,,unknown
1203.613,0,13.4,87.1,Presence,19,,unknown
1203.660,0,13.4,87.1,Presence,19,,unknown
1203.755,0,13.4,87.1,Presence,19,,unknown
1203.834,0,13.4,87.1,Presence,19,,unknown
1203.928,0,13.4,87.1,Presence,19,,unknown
1204.022,0,13.4,87.1,Presence,19,,unknown
1204.116,0,13.4,87.1,Presence,19,,unknown
1204.196,0,13.4,87.1,Presence,19,,unknown
1204.289,0,13.4,87.1,Presence,19,,unknown
1204.383,0,13.4,87.1,Presence,19,,unknown
1204.462,0,13.4,87.1,Presence,19,,unknown
1204.566,0,13.4,87.1,Presence,19,,unknown
1204.646,0,13.4,87.1,Presence,19,,unknown
1204.739,0,13.4,87.1,Presence,19,,unknown
1204.834,0,13.4,87.1,Presence,19,,unknown
1204.915,0,13.4,87.1,Presence,19,,unknown
1205.044,0,5.0,87.1,Presence,19,,unknown
1205.103,0,5.0,87.1,Presence,19,,unknown
1205.182,0,5.0,87.1,Presence,19,,unknown
1205.278,0,5.0,87.1,Presence,19,,unknown
1205.372,0,5.0,87.1,Presence,19,,unknown
1205.466,0,5.0,87.1,Presence,19,37.98805219987952,leaning right
1205.545,0,5.0,87.1,Presence,19,,unknown
1205.645,0,5.0,87.1,Presence,19,,unknown
1205.724,0,5.0,87.1,Presence,19,,unknown
1205.818,0,5.0,87.1,Presence,19,,unknown
1205.912,0,5.0,87.1,Presence,19,,unknown
1206.006,0,5.0,87.1,Presence,19,,unknown
1206.085,0,5.0,87.1,Presence,19,,unknown
1206.180,0,5.0,87.1,Presence,19,,unknown
1206.275,0,5.0,87.1,Presence,19,,unknown
1206.354,0,5.0,87.1,Presence,19,38.045311667810594,leaning right
1206.495,0,5.0,87.1,Presence,19,38.045311667810594,leaning right
1206.543,0,5.0,87.1,Presence,19,,unknown
1206.631,0,5.0,87.1,Presence,19,,unknown
1206.725,0,5.0,87.1,Presence,19,,unknown
1206.811,0,5.0,87.1,Presence,19,,unknown
1206.898,0,5.0,87.1,Presence,19,,unknown
1206.992,0,5.0,87.1,Presence,19,,unknown
1207.087,0,5.0,87.1,Presence,19,,unknown
1207.165,0,5.0,87.1,Presence,19,,unknown
1207.259,0,5.0,87.1,Presence,19,,unknown
1207.357,0,5.0,87.1,Presence,19,37.98805219987952,leaning right
1207.434,0,5.0,87.1,Presence,19,,unknown
1207.537,0,5.0,87.1,Presence,19,,unknown
1207.615,0,5.0,87.1,Presence,19,,unknown
1207.712,0,5.0,87.1,Presence,19,,unknown
1207.804,0,5.0,87.1,Presence,19,,unknown
1207.914,0,5.0,87.1,Presence,19,,unknown
1207.977,0,5.0,87.1,Presence,19,,unknown
1208.071,0,5.0,87.1,Presence,19,,unknown
1208.165,0,5.0,87.1,Presence,19,,unknown
1208.244,0,5.0,87.1,Presence,19,,unknown
1208.349,0,5.0,87.1,Presence,19,38.045311667810594,leaning right
1208.433,0,5.0,87.1,Presence,19,,unknown
1208.513,0,5.0,87.1,Presence,19,,unknown
1208.616,0,5.0,87.1,Presence,19,,unknown
1208.695,0,5.0,87.1,Presence,19,,unknown
1208.789,0,5.0,87.1,Presence,19,,unknown
1208.883,0,5.0,87.1,Presence,19,,unknown
1208.962,0,5.0,87.1,Presence,19,,unknown
1209.056,0,5.0,87.1,Presence,19,,unknown
1209.151,0,5.0,87.1,Presence,19,,unknown
1209.246,0,5.0,87.1,Presence,19,37.98805219987952,leaning right
1209.371,0,16.7,87.1,Presence,19,37.98805219987952,leaning right
1209.425,0,16.7,87.1,Presence,19,,unknown
1209.516,0,16.7,87.1,Presence,19,,unknown
1209.602,0,16.7,87.1,Presence,19,0.0,upright
1209.694,0,16.7,87.1,Presence,19,,unknown
1209.788,0,16.7,87.1,Presence,19,0.0,upright
1209.867,0,16.7,87.1,Presence,19,,unknown
1209.961,0,16.7,87.1,Presence,19,,unknown
1210.055,0,16.7,87.1,Presence,19,,unknown
1210.134,0,16.7,87.1,Presence,19,,unknown
1210.234,0,16.7,87.1,Presence,19,44.41586775413839,leaning right
1210.324,0,16.7,87.1,Presence,19,,unknown
1210.402,0,16.7,87.1,Presence,19,0.0,upright
1210.503,0,16.7,87.1,Presence,19,,unknown
1210.591,0,16.7,87.1,Presence,19,,unknown
1210.679,0,16.7,87.1,Presence,19,,unknown
1210.805,0,15.1,87.1,Presence,19,,unknown
1210.852,0,15.1,87.1,Presence,19,,unknown
1210.946,0,15.1,87.1,Presence,19,,unknown
1211.041,0,15.1,87.1,Presence,19,,unknown
1211.135,0,15.1,87.1,Presence,19,,unknown
1211.231,0,15.1,87.1,Presence,19,-41.00335215433266,leaning left
1211.308,0,15.1,87.1,Presence,19,,unknown
1211.387,0,15.1,87.1,Presence,19,,unknown
1211.491,0,15.1,87.1,Presence,19,,unknown
1211.576,0,15.1,87.1,Presence,19,,unknown
1211.671,0,15.1,87.1,Presence,19,,unknown
1211.761,0,15.1,87.1,Presence,19,,unknown
1211.840,0,15.1,87.1,Presence,19,,unknown
1211.950,0,15.1,87.1,Presence,19,-46.61992995867537,leaning left
1212.028,0,15.1,87.1,Presence,19,,unknown
1212.123,0,15.1,87.1,Presence,19,-41.00335215433266,leaning left
1212.248,0,6.7,87.1,Presence,19,-41.00335215433266,leaning left
1212.295,0,6.7,87.1,Presence,19,-24.267144629961123,leaning left
1212.374,0,6.7,87.1,Presence,19,,unknown
1212.477,0,6.7,87.1,Presence,19,0.0,upright
1212.563,0,6.7,87.1,Presence,19,,unknown
1212.658,0,6.7,87.1,Presence,19,0.0,upright
1212.746,0,6.7,87.1,Presence,19,,unknown
1212.842,0,6.7,87.1,Presence,19,-29.499980881350037,leaning left
1212.922,0,6.7,87.1,Presence,19,,unknown
1213.030,0,6.7,87.1,Presence,19,-29.499980881350037,leaning left
1213.109,0,6.7,87.1,Presence,19,,unknown
1213.203,0,6.7,87.1,Presence,19,-29.883722434303834,leaning left
1213.297,0,6.7,87.1,Presence,19,,unknown
1213.392,0,6.7,87.1,Presence,19,,unknown
1213.470,0,6.7,87.1,Presence,19,,unknown
1213.564,0,6.7,87.1,Presence,19,-29.883722434303834,leaning left
1213.706,0,16.7,87.1,Presence,19,-38.61242122604865,leaning left
1213.753,0,16.7,87.1,Presence,19,,unknown
1213.829,0,16.7,87.1,Presence,19,-38.61242122604865,leaning left
1213.924,0,16.7,87.1,Presence,19,-38.61242122604865,leaning left
1214.024,0,16.7,87.1,Presence,19,-34.65395694659955,leaning left
1214.112,0,16.7,87.1,Presence,19,-34.65395694659955,leaning left
1214.190,0,16.7,87.1,Presence,19,,unknown
1214.273,0,16.7,87.1,Presence,19,0.0,upright
1214.365,0,16.7,87.1,Presence,19,,unknown
