Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
900.174,0,10.0,82.0,Presence,19,,unknown
900.269,0,10.0,82.0,Presence,19,0.0,upright
900.359,0,10.0,82.0,Presence,19,,unknown
900.472,0,10.0,82.0,Presence,19,,unknown
900.535,0,10.0,82.0,Presence,19,0.0,upright
900.630,0,10.0,82.0,Presence,19,32.45677684674379,leaning right
900.724,0,10.0,82.0,Presence,19,32.45677684674379,leaning right
900.803,0,10.0,82.0,Presence,19,47.18627847458741,leaning right
900.904,0,10.0,82.0,Presence,19,52.19841209594986,leaning right
900.996,0,10.0,82.0,Presence,19,66.29049234149412,leaning right
901.085,0,10.0,82.0,Presence,19,66.29049234149412,leaning right
901.164,0,10.0,82.0,Presence,19,66.29049234149412,leaning right
901.258,0,10.0,82.0,Presence,19,66.29049234149412,leaning right
901.353,0,10.0,82.0,Presence,19,66.29049234149412,leaning right
901.416,0,10.0,82.0,Presence,19,55.13085942382665,leaning right
901.510,0,10.0,82.0,Presence,19,,unknown
901.605,0,10.0,82.0,Presence,19,,unknown
901.699,0,10.0,82.0,Presence,19,,unknown
901.778,0,10.0,82.0,Presence,19,,unknown
901.923,0,6.7,82.0,Presence,19,,unknown
901.976,0,6.7,82.0,Presence,19,55.13085942382665,leaning right
902.052,0,6.7,82.0,Presence,19,,unknown
902.160,0,6.7,82.0,Presence,19,32.37850100391155,leaning right
902.242,0,6.7,82.0,Presence,19,0.0,upright
902.336,0,6.7,82.0,Presence,19,,unknown
902.415,0,6.7,82.0,Presence,19,0.0,upright
902.509,0,6.7,82.0,Presence,19,0.0,upright
902.604,0,6.7,82.0,Presence,19,,unknown
902.689,0,6.7,82.0,Presence,19,,unknown
902.778,0,6.7,82.0,Presence,19,0.0,upright
902.863,0,6.7,82.0,Presence,19,,unknown
902.954,0,6.7,82.0,Presence,19,,unknown
903.039,0,6.7,82.0,Presence,19,,unknown
903.149,0,6.7,82.0,Presence,19,0.0,upright
903.244,0,6.7,82.0,Presence,19,,unknown
903.364,0,8.4,82.0,Presence,19,,unknown
