Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
900.202,0,8.4,88.7,Presence,59,,unknown
900.246,0,8.4,88.7,Presence,59,,unknown
900.336,0,8.4,88.7,Presence,59,,unknown
900.426,0,8.4,88.7,Presence,59,,unknown
900.517,0,8.4,88.7,Presence,59,,unknown
900.606,0,8.4,88.7,Presence,59,,unknown
900.696,0,8.4,88.7,Presence,59,,unknown
900.786,0,8.4,88.7,Presence,59,,unknown
900.875,0,8.4,88.7,Presence,59,,unknown
900.966,0,8.4,88.7,Presence,59,,unknown
901.056,0,8.4,88.7,Presence,59,,unknown
901.146,0,8.4,88.7,Presence,59,,unknown
901.236,0,8.4,88.7,Presence,59,,unknown
901.326,0,8.4,88.7,Presence,59,,unknown
901.416,0,8.4,88.7,Presence,59,,unknown
901.506,0,8.4,88.7,Presence,59,,unknown
901.642,0,10.0,88.7,Presence,59,,unknown
901.686,0,10.0,88.7,Presence,59,,unknown
901.775,0,10.0,88.7,Presence,59,,unknown
901.866,0,10.0,88.7,Presence,59,,unknown
901.957,0,10.0,88.7,Presence,59,,unknown
902.046,0,10.0,88.7,Presence,59,,unknown
902.137,0,10.0,88.7,Presence,59,,unknown
902.227,0,10.0,88.7,Presence,59,,unknown
902.316,0,10.0,88.7,Presence,59,,unknown
902.406,0,10.0,88.7,Presence,59,,unknown
902.497,0,10.0,88.7,Presence,59,0.0,upright
902.586,0,10.0,88.7,Presence,59,,unknown
902.675,0,10.0,88.7,Presence,59,,unknown
902.766,0,10.0,88.7,Presence,59,,unknown
902.856,0,10.0,88.7,Presence,59,,unknown
902.946,0,10.0,88.7,Presence,59,,unknown
903.082,0,11.7,88.7,Presence,59,,unknown
903.127,0,11.7,88.7,Presence,59,,unknown
903.216,0,11.7,88.7,Presence,59,,unknown
903.305,0,11.7,88.7,Presence,59,,unknown
903.396,0,11.7,88.7,Presence,59,,unknown
903.486,0,11.7,88.7,Presence,59,,unknown
903.576,0,11.7,88.7,Presence,59,,unknown
903.666,0,11.7,88.7,Presence,59,,unknown
903.756,0,11.7,88.7,Presence,59,,unknown
903.846,0,11.7,88.7,Presence,59,,unknown
903.936,0,11.7,88.7,Presence,59,,unknown
904.025,0,11.7,88.7,Presence,59,,unknown
904.115,0,11.7,88.7,Presence,59,,unknown
904.207,0,11.7,88.7,Presence,59,,unknown
904.295,0,11.7,88.7,Presence,59,,unknown
904.386,0,11.7,88.7,Presence,59,,unknown
904.521,0,6.7,88.7,Presence,59,,unknown
904.566,0,6.7,88.7,Presence,59,,unknown
904.656,0,6.7,88.7,Presence,59,,unknown
904.746,0,6.7,88.7,Presence,59,,unknown
904.836,0,6.7,88.7,Presence,59,,unknown
904.926,0,6.7,88.7,Presence,59,,unknown
905.016,0,6.7,88.7,Presence,59,,unknown
905.106,0,6.7,88.7,Presence,59,0.0,upright
905.196,0,6.7,88.7,Presence,59,,unknown
905.286,0,6.7,88.7,Presence,59,,unknown
905.376,0,6.7,88.7,Presence,59,,unknown
905.466,0,6.7,88.7,Presence,59,,unknown
905.556,0,6.7,88.7,Presence,59,,unknown
905.646,0,6.7,88.7,Presence,59,,unknown
905.736,0,6.7,88.7,Presence,59,,unknown
905.826,0,6.7,88.7,Presence,59,,unknown
905.961,0,6.7,88.7,Presence,59,,unknown
906.006,0,6.7,88.7,Presence,59,,unknown
906.096,0,6.7,88.7,Presence,59,,unknown
906.186,0,6.7,88.7,Presence,59,,unknown
906.276,0,6.7,88.7,Presence,59,,unknown
906.366,0,6.7,88.7,Presence,59,,unknown
906.456,0,6.7,88.7,Presence,59,,unknown
906.546,0,6.7,88.7,Presence,59,,unknown
906.636,0,6.7,88.7,Presence,59,,unknown
906.726,0,6.7,88.7,Presence,59,,unknown
906.815,0,6.7,88.7,Presence,59,,unknown
906.906,0,6.7,88.7,Presence,59,,unknown
906.996,0,6.7,88.7,Presence,59,,unknown
907.087,0,6.7,88.7,Presence,59,,unknown
907.176,0,6.7,88.7,Presence,59,,unknown
907.266,0,6.7,88.7,Presence,59,,unknown
907.402,0,6.7,88.7,Presence,59,,unknown
907.447,0,6.7,88.7,Presence,59,,unknown
907.536,0,6.7,88.7,Presence,59,,unknown
907.626,0,6.7,88.7,Presence,59,,unknown
907.716,0,6.7,88.7,Presence,59,,unknown
907.805,0,6.7,88.7,Presence,59,,unknown
907.896,0,6.7,88.7,Presence,59,,unknown
907.986,0,6.7,88.7,Presence,59,,unknown
908.076,0,6.7,88.7,Presence,59,,unknown
908.166,0,6.7,88.7,Presence,59,,unknown
908.256,0,6.7,88.7,Presence,59,,unknown
908.346,0,6.7,88.7,Presence,59,,unknown
908.435,0,6.7,88.7,Presence,59,,unknown
908.525,0,6.7,88.7,Presence,59,,unknown
908.616,0,6.7,88.7,Presence,59,,unknown
908.706,0,6.7,88.7,Presence,59,,unknown
908.842,0,6.7,88.7,Presence,59,,unknown
908.886,0,6.7,88.7,Presence,59,,unknown
908.975,0,6.7,88.7,Presence,59,,unknown
909.066,0,6.7,88.7,Presence,59,,unknown
909.155,0,6.7,88.7,Presence,59,,unknown
909.246,0,6.7,88.7,Presence,59,,unknown
909.336,0,6.7,88.7,Presence,59,,unknown
909.426,0,6.7,88.7,Presence,59,,unknown
909.517,0,6.7,88.7,Presence,59,,unknown
909.605,0,6.7,88.7,Presence,59,,unknown
909.696,0,6.7,88.7,Presence,59,,unknown
909.787,0,6.7,88.7,Presence,59,,unknown
909.876,0,6.7,88.7,Presence,59,,unknown
909.966,0,6.7,88.7,Presence,59,,unknown
910.055,0,6.7,88.7,Presence,59,,unknown
910.146,0,6.7,88.7,Presence,59,,unknown
910.281,0,6.7,88.7,Presence,59,,unknown
910.327,0,6.7,88.7,Presence,59,,unknown
910.416,0,6.7,88.7,Presence,59,,unknown
910.505,0,6.7,88.7,Presence,59,,unknown
910.595,0,6.7,88.7,Presence,59,,unknown
910.685,0,6.7,88.7,Presence,59,,unknown
910.775,0,6.7,88.7,Presence,59,,unknown
910.866,0,6.7,88.7,Presence,59,,unknown
910.956,0,6.7,88.7,Presence,59,,unknown
911.046,0,6.7,88.7,Presence,59,,unknown
911.136,0,6.7,88.7,Presence,59,,unknown
911.226,0,6.7,88.7,Presence,59,,unknown
911.315,0,6.7,88.7,Presence,59,,unknown
911.406,0,6.7,88.7,Presence,59,,unknown
911.496,0,6.7,88.7,Presence,59,,unknown
911.586,0,6.7,88.7,Presence,59,,unknown
911.721,0,6.7,88.7,Presence,59,,unknown
911.765,0,6.7,88.7,Presence,59,,unknown
911.855,0,6.7,88.7,Presence,59,,unknown
911.945,0,6.7,88.7,Presence,59,,unknown
912.036,0,6.7,88.7,Presence,59,,unknown
912.126,0,6.7,88.7,Presence,59,,unknown
912.216,0,6.7,88.7,Presence,59,,unknown
912.305,0,6.7,88.7,Presence,59,,unknown
912.395,0,6.7,88.7,Presence,59,,unknown
912.486,0,6.7,88.7,Presence,59,,unknown
912.575,0,6.7,88.7,Presence,59,,unknown
912.666,0,6.7,88.7,Presence,59,,unknown
912.756,0,6.7,88.7,Presence,59,,unknown
912.846,0,6.7,88.7,Presence,59,,unknown
912.935,0,6.7,88.7,Presence,59,,unknown
913.026,0,6.7,88.7,Presence,59,,unknown
913.162,0,8.4,88.7,Presence,59,,unknown
913.212,0,8.4,88.7,Presence,59,,unknown
913.297,0,8.4,88.7,Presence,59,,unknown
913.386,0,8.4,88.7,Presence,59,,unknown
913.477,0,8.4,88.7,Presence,59,,unknown
913.566,0,8.4,88.7,Presence,59,,unknown
913.656,0,8.4,88.7,Presence,59,,unknown
913.746,0,8.4,88.7,Presence,59,,unknown
913.835,0,8.4,88.7,Presence,59,,unknown
913.925,0,8.4,88.7,Presence,59,,unknown
914.015,0,8.4,88.7,Presence,59,,unknown
914.106,0,8.4,88.7,Presence,59,,unknown
914.196,0,8.4,88.7,Presence,59,,unknown
914.286,0,8.4,88.7,Presence,59,,unknown
914.376,0,8.4,88.7,Presence,59,,unknown
914.466,0,8.4,88.7,Presence,59,,unknown
914.601,0,8.4,88.7,Presence,59,,unknown
914.645,0,8.4,88.7,Presence,59,,unknown
914.736,0,8.4,88.7,Presence,59,,unknown
914.826,0,8.4,88.7,Presence,59,,unknown
914.916,0,8.4,88.7,Presence,59,,unknown
915.006,0,8.4,88.7,Presence,59,,unknown
915.095,0,8.4,88.7,Presence,59,,unknown
915.186,0,8.4,88.7,Presence,59,,unknown
915.277,0,8.4,88.7,Presence,59,,unknown
915.367,0,8.4,88.7,Presence,59,,unknown
915.457,0,8.4,88.7,Presence,59,,unknown
915.546,0,8.4,88.7,Presence,59,,unknown
915.637,0,8.4,88.7,Presence,59,,unknown
915.725,0,8.4,88.7,Presence,59,,unknown
915.815,0,8.4,88.7,Presence,59,,unknown
915.906,0,8.4,88.7,Presence,59,,unknown
916.041,0,10.0,88.7,Presence,59,,unknown
916.087,0,10.0,88.7,Presence,59,,unknown
916.176,0,10.0,88.7,Presence,59,,unknown
916.266,0,10.0,88.7,Presence,59,,unknown
916.356,0,10.0,88.7,Presence,59,,unknown
916.447,0,10.0,88.7,Presence,59,,unknown
916.537,0,10.0,88.7,Presence,59,,unknown
916.626,0,10.0,88.7,Presence,59,,unknown
916.717,0,10.0,88.7,Presence,59,,unknown
