Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
300.725,0,21.8,82.0,Presence,20,,unknown
300.804,0,21.8,82.0,Presence,20,0.0,upright
300.818,0,21.8,82.0,Presence,20,0.0,upright
300.862,0,21.8,82.0,Presence,20,,unknown
300.914,0,21.8,82.0,Presence,20,,unknown
300.976,0,21.8,82.0,Presence,20,,unknown
301.026,0,21.8,82.0,Presence,20,,unknown
301.075,0,21.8,82.0,Presence,20,,unknown
301.133,0,21.8,82.0,Presence,20,,unknown
301.191,0,21.8,82.0,Presence,20,,unknown
301.240,0,21.8,82.0,Presence,20,,unknown
301.293,0,21.8,82.0,Presence,20,,unknown
301.339,0,21.8,82.0,Presence,20,0.0,upright
301.380,0,21.8,82.0,Presence,20,,unknown
301.425,0,21.8,82.0,Presence,20,0.0,upright
301.483,0,21.8,82.0,Presence,20,,unknown
301.518,0,6.7,82.0,Presence,20,,unknown
301.566,0,6.7,82.0,Presence,20,,unknown
301.625,0,6.7,82.0,Presence,20,,unknown
301.658,0,6.7,82.0,Presence,20,0.0,upright
301.706,0,6.7,82.0,Presence,20,,unknown
301.756,0,6.7,82.0,Presence,20,,unknown
301.806,0,6.7,82.0,Presence,20,0.0,upright
301.850,0,6.7,82.0,Presence,20,,unknown
301.912,0,6.7,82.0,Presence,20,,unknown
301.962,0,6.7,82.0,Presence,20,0.0,upright
302.018,0,6.7,82.0,Presence,20,,unknown
302.067,0,6.7,82.0,Presence,20,-55.43792078442612,leaning left
302.117,0,6.7,82.0,Presence,20,,unknown
302.159,0,6.7,82.0,Presence,20,-35.26948583214233,leaning left
302.207,0,6.7,82.0,Presence,20,-39.56251045192774,leaning left
302.266,0,6.7,82.0,Presence,20,,unknown
302.314,0,8.4,82.0,Presence,20,,unknown
302.376,0,8.4,82.0,Presence,20,-60.052165766720954,leaning left
302.422,0,8.4,82.0,Presence,20,,unknown
302.496,0,8.4,82.0,Presence,20,0.0,upright
302.598,0,8.4,82.0,Presence,20,,unknown
302.672,0,8.4,82.0,Presence,20,,unknown
302.778,0,8.4,82.0,Presence,20,,unknown
302.868,0,8.4,82.0,Presence,20,0.0,upright
302.943,0,8.4,82.0,Presence,20,,unknown
303.033,0,8.4,82.0,Presence,20,,unknown
303.133,0,8.4,82.0,Presence,20,,unknown
303.222,0,8.4,82.0,Presence,20,0.0,upright
303.304,0,8.4,82.0,Presence,20,0.0,upright
303.385,0,8.4,82.0,Presence,20,,unknown
303.477,0,8.4,82.0,Presence,20,,unknown
303.568,0,8.4,82.0,Presence,20,,unknown
303.707,0,8.4,82.0,Presence,20,,unknown
303.748,0,8.4,82.0,Presence,20,33.99232975488646,leaning right
303.857,0,8.4,82.0,Presence,20,,unknown
303.931,0,8.4,82.0,Presence,20,,unknown
304.038,0,8.4,82.0,Presence,20,,unknown
304.121,0,8.4,82.0,Presence,20,,unknown
304.203,0,8.4,82.0,Presence,20,68.23890162033267,leaning right
304.285,0,8.4,82.0,Presence,20,,unknown
304.384,0,8.4,82.0,Presence,20,68.23890162033267,leaning right
304.474,0,8.4,82.0,Presence,20,,unknown
304.563,0,8.4,82.0,Presence,20,,unknown
304.652,0,8.4,82.0,Presence,20,,unknown
304.760,0,8.4,82.0,Presence,20,33.99232975488646,leaning right
304.841,0,8.4,82.0,Presence,20,,unknown
304.940,0,8.4,82.0,Presence,20,41.10500568379084,leaning right
305.022,0,8.4,82.0,Presence,20,,unknown
305.145,0,21.8,82.0,Presence,20,,unknown
305.195,0,21.8,82.0,Presence,20,41.10500568379084,leaning right
305.279,0,21.8,82.0,Presence,20,0.0,upright
305.389,0,21.8,82.0,Presence,20,0.0,upright
305.477,0,21.8,82.0,Presence,20,29.131441022430607,leaning right
305.563,0,21.8,82.0,Presence,20,0.0,upright
305.657,0,21.8,82.0,Presence,20,,unknown
305.745,0,21.8,82.0,Presence,20,,unknown
305.837,0,21.8,82.0,Presence,20,,unknown
305.930,0,21.8,82.0,Presence,20,0.0,upright
306.012,0,21.8,82.0,Presence,20,0.0,upright
306.103,0,21.8,82.0,Presence,20,0.0,upright
306.213,0,21.8,82.0,Presence,20,,unknown
306.290,0,21.8,82.0,Presence,20,27.566240481780184,leaning right
306.387,0,21.8,82.0,Presence,20,41.872634727852514,leaning right
306.461,0,21.8,82.0,Presence,20,,unknown
306.589,0,10.0,82.0,Presence,20,,unknown
306.646,0,10.0,82.0,Presence,20,,unknown
306.723,0,10.0,82.0,Presence,20,54.5743144422332,leaning right
306.811,0,10.0,82.0,Presence,20,54.5743144422332,leaning right
306.904,0,10.0,82.0,Presence,20,54.04485259888708,leaning right
307.001,0,10.0,82.0,Presence,20,,unknown
307.083,0,10.0,82.0,Presence,20,,unknown
307.189,0,10.0,82.0,Presence,20,,unknown
307.287,0,10.0,82.0,Presence,20,,unknown
307.369,0,10.0,82.0,Presence,20,,unknown
307.452,0,10.0,82.0,Presence,20,,unknown
307.533,0,10.0,82.0,Presence,20,54.37739000896347,leaning right
307.623,0,10.0,82.0,Presence,20,,unknown
307.729,0,10.0,82.0,Presence,20,65.18133177261734,leaning right
307.817,0,10.0,82.0,Presence,20,,unknown
307.902,0,10.0,82.0,Presence,20,,unknown
308.030,0,6.7,82.0,Presence,20,,unknown
308.071,0,6.7,82.0,Presence,20,,unknown
308.163,0,6.7,82.0,Presence,20,65.18133177261734,leaning right
308.254,0,6.7,82.0,Presence,20,58.065589129471284,leaning right
308.338,0,6.7,82.0,Presence,20,,unknown
308.447,0,6.7,82.0,Presence,20,,unknown
308.533,0,6.7,82.0,Presence,20,,unknown
308.627,0,6.7,82.0,Presence,20,,unknown
308.717,0,6.7,82.0,Presence,20,,unknown
308.808,0,6.7,82.0,Presence,20,,unknown
308.896,0,6.7,82.0,Presence,20,,unknown
308.987,0,6.7,82.0,Presence,20,,unknown
309.061,0,6.7,82.0,Presence,20,,unknown
309.179,0,6.7,82.0,Presence,20,,unknown
309.262,0,6.7,82.0,Presence,20,,unknown
309.346,0,6.7,82.0,Presence,20,,unknown
309.480,0,10.0,82.0,Presence,25,,unknown
309.525,0,10.0,82.0,Presence,25,,unknown
309.617,0,10.0,82.0,Presence,25,,unknown
309.708,0,10.0,82.0,Presence,25,58.065589129471284,leaning right
309.783,0,10.0,82.0,Presence,25,58.065589129471284,leaning right
309.889,0,10.0,82.0,Presence,25,47.79110920916352,leaning right
309.973,0,10.0,82.0,Presence,25,41.747644356506996,leaning right
310.065,0,10.0,82.0,Presence,25,,unknown
