Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
600.056,0,N/A,85.4,Holding Breath,42,,unknown
600.145,0,N/A,85.4,Holding Breath,42,,unknown
600.234,0,N/A,85.4,Holding Breath,42,,unknown
600.323,0,N/A,85.4,Holding Breath,42,,unknown
600.414,0,N/A,85.4,Holding Breath,42,,unknown
600.502,0,N/A,85.4,Holding Breath,42,,unknown
600.592,0,N/A,85.4,Holding Breath,42,,unknown
600.682,0,N/A,85.4,Holding Breath,42,,unknown
600.774,0,N/A,85.4,Holding Breath,42,,unknown
600.864,0,N/A,85.4,Holding Breath,42,,unknown
600.998,0,N/A,85.4,Holding Breath,42,,unknown
601.043,0,N/A,85.4,Holding Breath,42,,unknown
601.133,0,N/A,85.4,Holding Breath,42,,unknown
601.222,0,N/A,85.4,Holding Breath,42,,unknown
601.314,0,N/A,85.4,Holding Breath,42,,unknown
601.403,0,N/A,85.4,Holding Breath,42,,unknown
601.495,0,N/A,85.4,Holding Breath,42,,unknown
601.583,0,N/A,85.4,Holding Breath,42,,unknown
601.674,0,N/A,85.4,Holding Breath,42,,unknown
601.763,0,N/A,85.4,Holding Breath,42,,unknown
601.855,0,N/A,85.4,Holding Breath,42,,unknown
601.944,0,N/A,85.4,Holding Breath,42,,unknown
602.033,0,N/A,85.4,Holding Breath,42,,unknown
602.123,0,N/A,85.4,Holding Breath,42,,unknown
602.213,0,N/A,85.4,Holding Breath,42,,unknown
602.303,0,N/A,85.4,Holding Breath,42,,unknown
602.439,0,N/A,85.4,Holding Breath,42,,unknown
602.485,0,N/A,85.4,Holding Breath,42,,unknown
602.572,0,N/A,85.4,Holding Breath,42,,unknown
602.663,0,N/A,85.4,Holding Breath,42,,unknown
602.752,0,N/A,85.4,Holding Breath,42,,unknown
602.843,0,N/A,85.4,Holding Breath,42,,unknown
602.934,0,N/A,85.4,Holding Breath,42,,unknown
603.023,0,N/A,85.4,Holding Breath,42,,unknown
603.114,0,N/A,85.4,Holding Breath,42,,unknown
603.202,0,N/A,85.4,Holding Breath,42,,unknown
603.292,0,N/A,85.4,Holding Breath,42,,unknown
603.384,0,N/A,85.4,Holding Breath,42,,unknown
603.474,0,N/A,85.4,Holding Breath,42,,unknown
603.562,0,N/A,85.4,Holding Breath,42,,unknown
603.654,0,N/A,85.4,Holding Breath,42,,unknown
603.746,0,N/A,85.4,Holding Breath,42,0.0,upright
603.880,0,N/A,85.4,Holding Breath,42,0.0,upright
603.922,0,N/A,85.4,Holding Breath,42,,unknown
604.014,0,N/A,85.4,Holding Breath,42,,unknown
604.104,0,N/A,85.4,Holding Breath,42,,unknown
604.196,0,N/A,85.4,Holding Breath,42,28.085525763915655,leaning right
604.284,0,N/A,85.4,Holding Breath,42,,unknown
604.373,0,N/A,85.4,Holding Breath,42,,unknown
604.463,0,N/A,85.4,Holding Breath,42,,unknown
604.555,0,N/A,85.4,Holding Breath,42,28.085525763915655,leaning right
604.644,0,N/A,85.4,Holding Breath,42,,unknown
604.734,0,N/A,85.4,Holding Breath,42,,unknown
604.822,0,N/A,85.4,Holding Breath,42,,unknown
604.914,0,N/A,85.4,Holding Breath,42,,unknown
605.003,0,N/A,85.4,Holding Breath,42,,unknown
605.096,0,N/A,85.4,Holding Breath,42,31.399222737047296,leaning right
605.182,0,N/A,85.4,Holding Breath,42,,unknown
605.319,0,N/A,85.4,Holding Breath,42,,unknown
605.364,0,N/A,85.4,Holding Breath,42,,unknown
605.454,0,N/A,85.4,Holding Breath,42,,unknown
605.543,0,N/A,85.4,Holding Breath,42,,unknown
605.634,0,N/A,85.4,Holding Breath,42,,unknown
605.725,0,N/A,85.4,Holding Breath,42,21.806662082477075,leaning right
605.814,0,N/A,85.4,Holding Breath,42,,unknown
605.903,0,N/A,85.4,Holding Breath,42,,unknown
605.994,0,N/A,85.4,Holding Breath,42,,unknown
606.084,0,N/A,85.4,Holding Breath,42,,unknown
606.173,0,N/A,85.4,Holding Breath,42,,unknown
606.264,0,N/A,85.4,Holding Breath,42,,unknown
606.354,0,N/A,85.4,Holding Breath,42,,unknown
606.444,0,N/A,85.4,Holding Breath,42,,unknown
606.534,0,N/A,85.4,Holding Breath,42,,unknown
606.625,0,N/A,85.4,Holding Breath,42,42.92601434067263,leaning right
606.761,0,N/A,85.4,Holding Breath,42,52.47643969621565,leaning right
606.803,0,N/A,85.4,Holding Breath,42,,unknown
606.891,0,N/A,85.4,Holding Breath,42,,unknown
606.983,0,N/A,85.4,Holding Breath,42,,unknown
607.074,0,N/A,85.4,Holding Breath,42,,unknown
607.164,0,N/A,85.4,Holding Breath,42,,unknown
607.254,0,N/A,85.4,Holding Breath,42,,unknown
607.343,0,N/A,85.4,Holding Breath,42,,unknown
607.432,0,N/A,85.4,Holding Breath,42,,unknown
607.523,0,N/A,85.4,Holding Breath,42,,unknown
607.613,0,N/A,85.4,Holding Breath,42,,unknown
607.704,0,N/A,85.4,Holding Breath,42,,unknown
607.794,0,N/A,85.4,Holding Breath,42,,unknown
607.884,0,N/A,85.4,Holding Breath,42,,unknown
607.972,0,N/A,85.4,Holding Breath,42,,unknown
608.064,0,N/A,85.4,Holding Breath,42,,unknown
608.196,0,13.4,85.4,Presence,42,,unknown
608.243,0,13.4,85.4,Presence,42,,unknown
608.334,0,13.4,85.4,Presence,42,,unknown
608.424,0,13.4,85.4,Presence,42,,unknown
608.512,0,13.4,85.4,Presence,42,,unknown
608.603,0,13.4,85.4,Presence,42,,unknown
608.701,0,13.4,85.4,Presence,42,52.47643969621565,leaning right
608.790,0,13.4,85.4,Presence,42,52.47643969621565,leaning right
608.886,0,13.4,85.4,Presence,42,42.92601434067263,leaning right
608.972,0,13.4,85.4,Presence,42,21.806662082477075,leaning right
609.072,0,13.4,85.4,Presence,42,21.806662082477075,leaning right
609.145,0,13.4,85.4,Presence,42,0.0,upright
609.247,0,13.4,85.4,Presence,42,-41.45366160700347,leaning left
609.344,0,13.4,85.4,Presence,42,0.0,upright
609.428,0,13.4,85.4,Presence,42,0.0,upright
609.517,0,13.4,85.4,Presence,42,0.0,upright
609.645,0,8.4,85.4,Presence,42,21.051362989663872,leaning right
609.687,0,8.4,85.4,Presence,42,,unknown
609.781,0,8.4,85.4,Presence,42,0.0,upright
609.870,0,8.4,85.4,Presence,42,0.0,upright
609.966,0,8.4,85.4,Presence,42,0.0,upright
610.039,0,8.4,85.4,Presence,42,,unknown
610.148,0,8.4,85.4,Presence,42,-39.69299277762781,leaning left
610.230,0,8.4,85.4,Presence,42,0.0,upright
610.320,0,8.4,85.4,Presence,42,0.0,upright
610.414,0,8.4,85.4,Presence,42,0.0,upright
610.505,0,8.4,85.4,Presence,42,0.0,upright
610.582,0,8.4,85.4,Presence,42,0.0,upright
610.669,0,8.4,85.4,Presence,42,,unknown
610.759,0,8.4,85.4,Presence,42,,unknown
610.850,0,8.4,85.4,Presence,42,0.0,upright
610.940,0,8.4,85.4,Presence,42,0.0,upright
611.075,0,N/A,85.4,Holding Breath,42,0.0,upright
611.118,0,N/A,85.4,Holding Breath,42,,unknown
611.210,0,N/A,85.4,Holding Breath,42,,unknown
611.299,0,N/A,85.4,Holding Breath,42,,unknown
611.388,0,N/A,85.4,Holding Breath,42,,unknown
611.500,0,N/A,85.4,Holding Breath,42,,unknown
611.572,0,N/A,85.4,Holding Breath,42,,unknown
611.664,0,N/A,85.4,Holding Breath,42,,unknown
611.754,0,N/A,85.4,Holding Breath,42,,unknown
611.844,0,N/A,85.4,Holding Breath,42,,unknown
611.933,0,N/A,85.4,Holding Breath,42,,unknown
612.031,0,N/A,85.4,Holding Breath,42,0.0,upright
612.125,0,N/A,85.4,Holding Breath,42,0.0,upright
612.217,0,N/A,85.4,Holding Breath,42,0.0,upright
612.299,0,N/A,85.4,Holding Breath,42,0.0,upright
612.390,0,N/A,85.4,Holding Breath,42,,unknown
612.518,0,N/A,85.4,Holding Breath,42,,unknown
612.566,0,N/A,85.4,Holding Breath,42,0.0,upright
612.652,0,N/A,85.4,Holding Breath,42,,unknown
612.745,0,N/A,85.4,Holding Breath,42,0.0,upright
612.835,0,N/A,85.4,Holding Breath,42,0.0,upright
612.925,0,N/A,85.4,Holding Breath,42,0.0,upright
613.014,0,N/A,85.4,Holding Breath,42,,unknown
613.104,0,N/A,85.4,Holding Breath,42,,unknown
613.191,0,N/A,85.4,Holding Breath,42,,unknown
613.284,0,N/A,85.4,Holding Breath,42,0.0,upright
613.372,0,N/A,85.4,Holding Breath,42,,unknown
613.465,0,N/A,85.4,Holding Breath,42,0.0,upright
613.555,0,N/A,85.4,Holding Breath,42,0.0,upright
613.656,0,N/A,85.4,Holding Breath,42,0.0,upright
613.739,0,N/A,85.4,Holding Breath,42,0.0,upright
613.830,0,N/A,85.4,Holding Breath,42,0.0,upright
613.960,0,18.4,85.4,Presence,42,-35.50351417743505,leaning left
614.020,0,18.4,85.4,Presence,42,-35.50351417743505,leaning left
614.100,0,18.4,85.4,Presence,42,-44.56756703117823,leaning left
