Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
300.051,0,15.1,85.4,Presence,20,33.188848658501115,leaning right
300.090,0,15.1,85.4,Presence,20,0.0,upright
300.184,0,15.1,85.4,Presence,20,0.0,upright
300.270,0,15.1,85.4,Presence,20,0.0,upright
300.363,0,15.1,85.4,Presence,20,31.761887907449278,leaning right
300.452,0,15.1,85.4,Presence,20,,unknown
300.543,0,15.1,85.4,Presence,20,42.99270988775754,leaning right
300.631,0,15.1,85.4,Presence,20,46.09034873348895,leaning right
300.723,0,15.1,85.4,Presence,20,46.09034873348895,leaning right
300.812,0,15.1,85.4,Presence,20,52.04905265179622,leaning right
300.904,0,15.1,85.4,Presence,20,52.04905265179622,leaning right
300.994,0,15.1,85.4,Presence,20,52.04905265179622,leaning right
301.068,0,15.1,85.4,Presence,20,52.04905265179622,leaning right
301.157,0,15.1,85.4,Presence,20,,unknown
301.246,0,15.1,85.4,Presence,20,,unknown
301.353,0,15.1,85.4,Presence,20,,unknown
301.472,0,15.1,85.4,Presence,20,,unknown
301.533,0,15.1,85.4,Presence,20,,unknown
301.608,0,15.1,85.4,Presence,20,52.04905265179622,leaning right
301.698,0,15.1,85.4,Presence,20,55.186796462082924,leaning right
301.787,0,15.1,85.4,Presence,20,46.22709171156538,leaning right
301.878,0,15.1,85.4,Presence,20,47.40632322185644,leaning right
301.969,0,15.1,85.4,Presence,20,47.40632322185644,leaning right
302.058,0,15.1,85.4,Presence,20,,unknown
302.147,0,15.1,85.4,Presence,20,,unknown
302.237,0,15.1,85.4,Presence,20,,unknown
302.350,0,15.1,85.4,Presence,20,,unknown
302.423,0,15.1,85.4,Presence,20,,unknown
302.513,0,15.1,85.4,Presence,20,,unknown
302.604,0,15.1,85.4,Presence,20,49.318167697799105,leaning right
302.692,0,15.1,85.4,Presence,20,,unknown
302.783,0,15.1,85.4,Presence,20,,unknown
302.918,0,8.4,85.4,Presence,18,,unknown
302.962,0,8.4,85.4,Presence,18,22.290221600835594,leaning right
303.055,0,8.4,85.4,Presence,18,0.0,upright
303.144,0,8.4,85.4,Presence,18,0.0,upright
303.232,0,8.4,85.4,Presence,18,0.0,upright
303.336,0,8.4,85.4,Presence,18,,unknown
303.424,0,8.4,85.4,Presence,18,0.0,upright
303.520,0,8.4,85.4,Presence,18,,unknown
303.605,0,8.4,85.4,Presence,18,0.0,upright
303.708,0,8.4,85.4,Presence,18,0.0,upright
303.796,0,8.4,85.4,Presence,18,0.0,upright
303.893,0,8.4,85.4,Presence,18,0.0,upright
303.986,0,8.4,85.4,Presence,18,-47.65781192229175,leaning left
304.065,0,8.4,85.4,Presence,18,-71.35729141808108,leaning left
304.162,0,8.4,85.4,Presence,18,-74.35134927453373,leaning left
304.242,0,8.4,85.4,Presence,18,,unknown
304.362,0,10.0,85.4,Presence,18,,unknown
304.412,0,10.0,85.4,Presence,18,,unknown
304.517,0,10.0,85.4,Presence,18,-74.35134927453373,leaning left
304.613,0,10.0,85.4,Presence,18,-74.35134927453373,leaning left
304.697,0,10.0,85.4,Presence,18,-71.35729141808108,leaning left
304.786,0,10.0,85.4,Presence,18,-74.35134927453373,leaning left
304.879,0,10.0,85.4,Presence,18,-71.35729141808108,leaning left
304.973,0,10.0,85.4,Presence,18,-73.79078436094177,leaning left
305.066,0,10.0,85.4,Presence,18,-73.79078436094177,leaning left
305.147,0,10.0,85.4,Presence,18,-38.16558649093158,leaning left
305.233,0,10.0,85.4,Presence,18,,unknown
305.327,0,10.0,85.4,Presence,18,,unknown
305.420,0,10.0,85.4,Presence,18,,unknown
305.506,0,10.0,85.4,Presence,18,0.0,upright
305.585,0,10.0,85.4,Presence,18,0.0,upright
305.679,0,10.0,85.4,Presence,18,0.0,upright
305.805,0,10.0,85.4,Presence,25,-48.15610903625953,leaning left
305.857,0,10.0,85.4,Presence,25,,unknown
305.963,0,10.0,85.4,Presence,25,-57.86981829062709,leaning left
306.046,0,10.0,85.4,Presence,25,-54.07463807664642,leaning left
306.136,0,10.0,85.4,Presence,25,-60.438462190922465,leaning left
306.206,0,10.0,85.4,Presence,25,,unknown
306.312,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
306.402,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
306.487,0,10.0,85.4,Presence,25,-53.23034998634305,leaning left
306.585,0,10.0,85.4,Presence,25,-53.23034998634305,leaning left
306.677,0,10.0,85.4,Presence,25,-53.23034998634305,leaning left
306.769,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
306.859,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
306.937,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
307.021,0,10.0,85.4,Presence,25,-41.15582531252757,leaning left
307.114,0,10.0,85.4,Presence,25,,unknown
307.234,0,15.1,85.4,Presence,17,,unknown
307.277,0,15.1,85.4,Presence,17,,unknown
307.383,0,15.1,85.4,Presence,17,-25.21238711735812,leaning left
307.480,0,15.1,85.4,Presence,17,0.0,upright
307.576,0,15.1,85.4,Presence,17,0.0,upright
307.668,0,15.1,85.4,Presence,17,0.0,upright
307.756,0,15.1,85.4,Presence,17,0.0,upright
307.843,0,15.1,85.4,Presence,17,0.0,upright
307.937,0,15.1,85.4,Presence,17,0.0,upright
308.014,0,15.1,85.4,Presence,17,0.0,upright
308.103,0,15.1,85.4,Presence,17,,unknown
308.206,0,15.1,85.4,Presence,17,0.0,upright
308.279,0,15.1,85.4,Presence,17,0.0,upright
308.373,0,15.1,85.4,Presence,17,0.0,upright
308.467,0,15.1,85.4,Presence,17,0.0,upright
308.568,0,15.1,85.4,Presence,17,0.0,upright
308.697,0,13.4,85.4,Presence,29,0.0,upright
308.743,0,13.4,85.4,Presence,29,0.0,upright
308.843,0,13.4,85.4,Presence,29,0.0,upright
308.933,0,13.4,85.4,Presence,29,0.0,upright
