Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
300.055,0,10.0,83.7,Presence,24,,unknown
300.144,0,10.0,83.7,Presence,24,,unknown
300.234,0,10.0,83.7,Presence,24,,unknown
300.340,0,10.0,83.7,Presence,24,,unknown
300.415,0,10.0,83.7,Presence,24,,unknown
300.505,0,10.0,83.7,Presence,24,,unknown
300.594,0,10.0,83.7,Presence,24,,unknown
300.685,0,10.0,83.7,Presence,24,,unknown
300.774,0,10.0,83.7,Presence,24,,unknown
300.865,0,10.0,83.7,Presence,24,,unknown
300.954,0,10.0,83.7,Presence,24,,unknown
301.045,0,10.0,83.7,Presence,24,,unknown
301.134,0,10.0,83.7,Presence,24,,unknown
301.239,0,10.0,83.7,Presence,24,,unknown
301.360,0,10.0,83.7,Presence,24,,unknown
301.405,0,10.0,83.7,Presence,24,0.0,upright
301.496,0,10.0,83.7,Presence,24,,unknown
301.585,0,10.0,83.7,Presence,24,,unknown
301.675,0,10.0,83.7,Presence,24,,unknown
301.764,0,10.0,83.7,Presence,24,,unknown
301.855,0,10.0,83.7,Presence,24,,unknown
301.945,0,10.0,83.7,Presence,24,,unknown
302.035,0,10.0,83.7,Presence,24,,unknown
302.125,0,10.0,83.7,Presence,24,,unknown
302.232,0,10.0,83.7,Presence,24,32.908001662076316,leaning right
302.306,0,10.0,83.7,Presence,24,,unknown
302.396,0,10.0,83.7,Presence,24,0.0,upright
302.487,0,10.0,83.7,Presence,24,0.0,upright
302.576,0,10.0,83.7,Presence,24,0.0,upright
302.665,0,10.0,83.7,Presence,24,,unknown
302.800,0,10.0,83.7,Presence,24,,unknown
302.845,0,10.0,83.7,Presence,24,0.0,upright
302.939,0,10.0,83.7,Presence,24,0.0,upright
303.026,0,10.0,83.7,Presence,24,0.0,upright
303.115,0,10.0,83.7,Presence,24,0.0,upright
303.221,0,10.0,83.7,Presence,24,0.0,upright
303.294,0,10.0,83.7,Presence,24,,unknown
303.385,0,10.0,83.7,Presence,24,,unknown
303.475,0,10.0,83.7,Presence,24,,unknown
303.565,0,10.0,83.7,Presence,24,,unknown
303.655,0,10.0,83.7,Presence,24,,unknown
303.745,0,10.0,83.7,Presence,24,,unknown
303.835,0,10.0,83.7,Presence,24,,unknown
303.924,0,10.0,83.7,Presence,24,,unknown
304.015,0,10.0,83.7,Presence,24,,unknown
304.120,0,10.0,83.7,Presence,24,,unknown
304.249,0,13.4,83.7,Presence,24,,unknown
304.301,0,13.4,83.7,Presence,24,0.0,upright
304.391,0,13.4,83.7,Presence,24,0.0,upright
304.493,0,13.4,83.7,Presence,24,0.0,upright
304.584,0,13.4,83.7,Presence,24,0.0,upright
304.673,0,13.4,83.7,Presence,24,0.0,upright
304.756,0,13.4,83.7,Presence,24,0.0,upright
304.841,0,13.4,83.7,Presence,24,0.0,upright
304.936,0,13.4,83.7,Presence,24,23.797005099821078,leaning right
305.022,0,13.4,83.7,Presence,24,34.47311688793012,leaning right
305.115,0,13.4,83.7,Presence,24,34.47311688793012,leaning right
305.202,0,13.4,83.7,Presence,24,34.47311688793012,leaning right
305.290,0,13.4,83.7,Presence,24,34.47311688793012,leaning right
305.364,0,13.4,83.7,Presence,24,,unknown
305.455,0,13.4,83.7,Presence,24,,unknown
305.545,0,13.4,83.7,Presence,24,,unknown
305.680,0,10.0,83.7,Presence,24,,unknown
305.725,0,10.0,83.7,Presence,24,,unknown
305.814,0,10.0,83.7,Presence,24,,unknown
305.905,0,10.0,83.7,Presence,24,47.11257069807175,leaning right
306.010,0,10.0,83.7,Presence,24,47.11257069807175,leaning right
306.107,0,10.0,83.7,Presence,24,47.11257069807175,leaning right
306.186,0,10.0,83.7,Presence,24,,unknown
306.270,0,10.0,83.7,Presence,24,,unknown
306.360,0,10.0,83.7,Presence,24,47.11257069807175,leaning right
306.450,0,10.0,83.7,Presence,24,,unknown
306.540,0,10.0,83.7,Presence,24,,unknown
306.629,0,10.0,83.7,Presence,24,,unknown
306.730,0,10.0,83.7,Presence,24,56.15392151257599,leaning right
306.826,0,10.0,83.7,Presence,24,56.15392151257599,leaning right
306.902,0,10.0,83.7,Presence,24,30.530857103112552,leaning right
307.004,0,10.0,83.7,Presence,24,,unknown
307.125,0,11.7,83.7,Presence,20,,unknown
307.181,0,11.7,83.7,Presence,20,28.529626937122572,leaning right
307.276,0,11.7,83.7,Presence,20,0.0,upright
307.360,0,11.7,83.7,Presence,20,0.0,upright
307.459,0,11.7,83.7,Presence,20,0.0,upright
307.549,0,11.7,83.7,Presence,20,20.08206961194236,leaning right
307.647,0,11.7,83.7,Presence,20,20.08206961194236,leaning right
307.731,0,11.7,83.7,Presence,20,20.08206961194236,leaning right
307.810,0,11.7,83.7,Presence,20,0.0,upright
307.901,0,11.7,83.7,Presence,20,0.0,upright
307.995,0,11.7,83.7,Presence,20,21.85295064726948,leaning right
308.080,0,11.7,83.7,Presence,20,0.0,upright
308.176,0,11.7,83.7,Presence,20,21.85295064726948,leaning right
308.260,0,11.7,83.7,Presence,20,36.61555667569813,leaning right
308.351,0,11.7,83.7,Presence,20,36.61555667569813,leaning right
308.443,0,11.7,83.7,Presence,20,38.579727041616735,leaning right
308.571,0,11.7,83.7,Presence,24,27.55693482883612,leaning right
308.622,0,11.7,83.7,Presence,24,27.55693482883612,leaning right
308.715,0,11.7,83.7,Presence,24,27.55693482883612,leaning right
308.792,0,11.7,83.7,Presence,24,27.55693482883612,leaning right
308.882,0,11.7,83.7,Presence,24,0.0,upright
308.986,0,11.7,83.7,Presence,24,,unknown
309.071,0,11.7,83.7,Presence,24,0.0,upright
309.160,0,11.7,83.7,Presence,24,0.0,upright
309.249,0,11.7,83.7,Presence,24,0.0,upright
309.325,0,11.7,83.7,Presence,24,0.0,upright
309.435,0,11.7,83.7,Presence,24,0.0,upright
309.522,0,11.7,83.7,Presence,24,0.0,upright
309.610,0,11.7,83.7,Presence,24,0.0,upright
309.701,0,11.7,83.7,Presence,24,0.0,upright
309.795,0,11.7,83.7,Presence,24,0.0,upright
309.885,0,11.7,83.7,Presence,24,25.97534075281476,leaning right
310.005,0,10.0,83.7,Presence,24,25.97534075281476,leaning right
310.061,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.135,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.240,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.330,0,10.0,83.7,Presence,24,0.0,upright
310.420,0,10.0,83.7,Presence,24,0.0,upright
310.510,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.600,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.690,0,10.0,83.7,Presence,24,23.845154255454304,leaning right
310.786,0,10.0,83.7,Presence,24,0.0,upright
310.875,0,10.0,83.7,Presence,24,0.0,upright
310.950,0,10.0,83.7,Presence,24,0.0,upright
311.051,0,10.0,83.7,Presence,24,30.22267947799709,leaning right
311.141,0,10.0,83.7,Presence,24,0.0,upright
311.216,0,10.0,83.7,Presence,24,0.0,upright
311.306,0,10.0,83.7,Presence,24,0.0,upright
311.451,0,6.7,83.7,Presence,24,0.0,upright
311.500,0,6.7,83.7,Presence,24,-23.728733435370387,leaning left
311.590,0,6.7,83.7,Presence,24,-23.728733435370387,leaning left
311.680,0,6.7,83.7,Presence,24,-29.409618168326972,leaning left
311.770,0,6.7,83.7,Presence,24,-29.409618168326972,leaning left
311.860,0,6.7,83.7,Presence,24,,unknown
311.951,0,6.7,83.7,Presence,24,-20.5675087799019,leaning left
312.046,0,6.7,83.7,Presence,24,-20.5675087799019,leaning left
312.130,0,6.7,83.7,Presence,24,0.0,upright
312.227,0,6.7,83.7,Presence,24,0.0,upright
312.310,0,6.7,83.7,Presence,24,0.0,upright
312.411,0,6.7,83.7,Presence,24,0.0,upright
312.491,0,6.7,83.7,Presence,24,0.0,upright
312.580,0,6.7,83.7,Presence,24,0.0,upright
312.676,0,6.7,83.7,Presence,24,0.0,upright
312.765,0,6.7,83.7,Presence,24,,unknown
312.885,0,8.4,83.7,Presence,24,,unknown
312.940,0,8.4,83.7,Presence,24,0.0,upright
313.035,0,8.4,83.7,Presence,24,0.0,upright
313.123,0,8.4,83.7,Presence,24,0.0,upright
313.211,0,8.4,83.7,Presence,24,0.0,upright
313.305,0,8.4,83.7,Presence,24,0.0,upright
313.381,0,8.4,83.7,Presence,24,0.0,upright
313.482,0,8.4,83.7,Presence,24,0.0,upright
313.570,0,8.4,83.7,Presence,24,0.0,upright
313.668,0,8.4,83.7,Presence,24,0.0,upright
313.755,0,8.4,83.7,Presence,24,,unknown
313.830,0,8.4,83.7,Presence,24,,unknown
313.921,0,8.4,83.7,Presence,24,0.0,upright
314.010,0,8.4,83.7,Presence,24,0.0,upright
314.101,0,8.4,83.7,Presence,24,0.0,upright
314.191,0,8.4,83.7,Presence,24,0.0,upright
314.329,0,8.4,83.7,Presence,24,0.0,upright
314.382,0,8.4,83.7,Presence,24,0.0,upright
314.475,0,8.4,83.7,Presence,24,0.0,upright
314.561,0,8.4,83.7,Presence,24,0.0,upright
314.654,0,8.4,83.7,Presence,24,0.0,upright
314.744,0,8.4,83.7,Presence,24,,unknown
314.821,0,8.4,83.7,Presence,24,0.0,upright
314.921,0,8.4,83.7,Presence,24,0.0,upright
315.017,0,8.4,83.7,Presence,24,0.0,upright
315.102,0,8.4,83.7,Presence,24,0.0,upright
315.191,0,8.4,83.7,Presence,24,0.0,upright
315.286,0,8.4,83.7,Presence,24,0.0,upright
315.361,0,8.4,83.7,Presence,24,0.0,upright
315.452,0,8.4,83.7,Presence,24,0.0,upright
315.551,0,8.4,83.7,Presence,24,0.0,upright
315.641,0,8.4,83.7,Presence,24,0.0,upright
315.770,0,20.1,83.7,Presence,24,0.0,upright
315.816,0,20.1,83.7,Presence,24,0.0,upright
315.911,0,20.1,83.7,Presence,24,0.0,upright
316.007,0,20.1,83.7,Presence,24,0.0,upright
316.080,0,20.1,83.7,Presence,24,0.0,upright
316.180,0,20.1,83.7,Presence,24,0.0,upright
316.271,0,20.1,83.7,Presence,24,0.0,upright
316.345,0,20.1,83.7,Presence,24,0.0,upright
316.455,0,20.1,83.7,Presence,24,0.0,upright
316.539,0,20.1,83.7,Presence,24,0.0,upright
316.629,0,20.1,83.7,Presence,24,,unknown
