Timestamp,Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin,Leaning Angle,Leaning State
10.538,0,N/A,N/A,No Patient Detected,0,,unknown
10.628,0,N/A,N/A,No Patient Detected,0,,unknown
10.719,0,N/A,N/A,No Patient Detected,0,,unknown
10.814,0,N/A,N/A,No Patient Detected,0,,unknown
10.904,0,N/A,N/A,No Patient Detected,0,,unknown
10.980,0,N/A,N/A,No Patient Detected,0,,unknown
11.084,0,N/A,N/A,No Patient Detected,0,,unknown
11.168,0,N/A,N/A,No Patient Detected,0,,unknown
11.265,0,N/A,N/A,No Patient Detected,0,,unknown
11.356,0,N/A,N/A,No Patient Detected,0,,unknown
11.445,0,N/A,N/A,No Patient Detected,0,,unknown
11.539,0,N/A,N/A,No Patient Detected,0,,unknown
11.629,0,N/A,N/A,No Patient Detected,0,,unknown
11.720,0,N/A,N/A,No Patient Detected,0,,unknown
11.805,0,N/A,N/A,No Patient Detected,0,,unknown
11.934,0,N/A,75.3,Holding Breath,8,,unknown
11.986,0,N/A,75.3,Holding Breath,8,-37.25052893062275,leaning left
12.080,0,N/A,75.3,Holding Breath,8,-23.112627684986222,leaning left
12.165,0,N/A,75.3,Holding Breath,8,0.0,upright
12.260,0,N/A,75.3,Holding Breath,8,-23.112627684986222,leaning left
12.350,0,N/A,75.3,Holding Breath,8,,unknown
12.436,0,N/A,75.3,Holding Breath,8,-37.25052893062275,leaning left
12.542,0,N/A,75.3,Holding Breath,8,-23.112627684986222,leaning left
12.615,0,N/A,75.3,Holding Breath,8,-37.25052893062275,leaning left
12.716,0,N/A,75.3,Holding Breath,8,-44.64890446056294,leaning left
12.802,0,N/A,75.3,Holding Breath,8,-37.25052893062275,leaning left
12.895,0,N/A,75.3,Holding Breath,8,-44.64890446056294,leaning left
12.975,0,N/A,75.3,Holding Breath,8,-55.6127149475836,leaning left
13.070,0,N/A,75.3,Holding Breath,8,-55.6127149475836,leaning left
13.159,0,N/A,75.3,Holding Breath,8,-61.93698948593872,leaning left
13.244,0,N/A,75.3,Holding Breath,8,-55.6127149475836,leaning left
13.369,0,Updating,75.3,Presence,13,-27.010943574861663,leaning left
13.431,0,Updating,75.3,Presence,13,-27.010943574861663,leaning left
13.515,0,Updating,75.3,Presence,13,0.0,upright
13.613,0,Updating,75.3,Presence,13,0.0,upright
13.695,0,Updating,75.3,Presence,13,-27.97135978805029,leaning left
13.798,0,Updating,75.3,Presence,13,-27.97135978805029,leaning left
13.878,0,Updating,75.3,Presence,13,0.0,upright
13.966,0,Updating,75.3,Presence,13,-26.525009941535767,leaning left
14.054,0,Updating,75.3,Presence,13,0.0,upright
14.129,0,Updating,75.3,Presence,13,-26.525009941535767,leaning left
14.234,0,Updating,75.3,Presence,13,,unknown
14.311,0,Updating,75.3,Presence,13,-58.974105434103976,leaning left
14.400,0,Updating,75.3,Presence,13,-58.974105434103976,leaning left
14.506,0,Updating,75.3,Presence,13,-58.974105434103976,leaning left
14.620,0,Updating,75.3,Presence,13,-58.974105434103976,leaning left
14.670,0,Updating,75.3,Presence,13,-65.75635953185537,leaning left
14.806,0,13.4,75.3,Presence,13,-70.27760652478489,leaning left
14.864,0,13.4,75.3,Presence,13,,unknown
14.939,0,13.4,75.3,Presence,13,,unknown
15.044,0,13.4,75.3,Presence,13,,unknown
15.136,0,13.4,75.3,Presence,13,-70.27760652478489,leaning left
15.224,0,13.4,75.3,Presence,13,,unknown
15.299,0,13.4,75.3,Presence,13,,unknown
15.404,0,13.4,75.3,Presence,13,,unknown
15.496,0,13.4,75.3,Presence,13,-70.81974100594459,leaning left
15.569,0,13.4,75.3,Presence,13,,unknown
15.659,0,13.4,75.3,Presence,13,,unknown
15.759,0,13.4,75.3,Presence,13,,unknown
15.854,0,13.4,75.3,Presence,13,-70.81974100594459,leaning left
15.945,0,13.4,75.3,Presence,13,-67.00231362910215,leaning left
16.035,0,13.4,75.3,Presence,13,-61.374735737642624,leaning left
16.125,0,13.4,75.3,Presence,13,,unknown
16.244,0,11.7,75.3,Presence,13,,unknown
16.299,0,11.7,75.3,Presence,13,,unknown
16.394,0,11.7,75.3,Presence,13,-61.374735737642624,leaning left
16.471,0,11.7,75.3,Presence,13,-67.00231362910215,leaning left
16.575,0,11.7,75.3,Presence,13,-69.90367301100358,leaning left
16.648,0,11.7,75.3,Presence,13,,unknown
16.755,0,11.7,75.3,Presence,13,-61.374735737642624,leaning left
16.830,0,11.7,75.3,Presence,13,-54.47010473907868,leaning left
16.928,0,11.7,75.3,Presence,13,,unknown
17.024,0,11.7,75.3,Presence,13,-45.587548158494926,leaning left
17.115,0,11.7,75.3,Presence,13,,unknown
17.189,0,11.7,75.3,Presence,13,-38.056523066518,leaning left
17.279,0,11.7,75.3,Presence,13,-26.833217734423712,leaning left
17.384,0,11.7,75.3,Presence,13,,unknown
17.459,0,11.7,75.3,Presence,13,,unknown
17.549,0,11.7,75.3,Presence,13,,unknown
17.685,0,15.1,75.3,Presence,13,,unknown
17.738,0,15.1,75.3,Presence,13,-38.056523066518,leaning left
17.834,0,15.1,75.3,Presence,13,,unknown
17.925,0,15.1,75.3,Presence,13,,unknown
18.015,0,15.1,75.3,Presence,13,-26.833217734423712,leaning left
18.105,0,15.1,75.3,Presence,13,0.0,upright
18.194,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.271,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.375,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.465,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.555,0,15.1,75.3,Presence,13,,unknown
18.629,0,15.1,75.3,Presence,13,,unknown
18.736,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.809,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
18.900,0,15.1,75.3,Presence,13,55.22493858366312,leaning right
19.004,0,15.1,75.3,Presence,13,,unknown
19.125,0,18.4,75.3,Presence,14,,unknown
19.169,0,18.4,75.3,Presence,14,55.22493858366312,leaning right
19.259,0,18.4,75.3,Presence,14,,unknown
19.349,0,18.4,75.3,Presence,14,28.0901739421941,leaning right
19.455,0,18.4,75.3,Presence,14,0.0,upright
19.553,0,18.4,75.3,Presence,14,0.0,upright
19.652,0,18.4,75.3,Presence,14,0.0,upright
19.741,0,18.4,75.3,Presence,14,,unknown
19.822,0,18.4,75.3,Presence,14,0.0,upright
19.904,0,18.4,75.3,Presence,14,0.0,upright
19.994,0,18.4,75.3,Presence,14,,unknown
20.086,0,18.4,75.3,Presence,14,,unknown
20.174,0,18.4,75.3,Presence,14,,unknown
20.249,0,18.4,75.3,Presence,14,0.0,upright
20.339,0,18.4,75.3,Presence,14,0.0,upright
20.428,0,18.4,75.3,Presence,14,,unknown
20.565,0,13.4,75.3,Presence,14,,unknown
20.611,0,13.4,75.3,Presence,14,0.0,upright
20.716,0,13.4,75.3,Presence,14,0.0,upright
20.812,0,13.4,75.3,Presence,14,0.0,upright
20.897,0,13.4,75.3,Presence,14,39.19276922490084,leaning right
20.985,0,13.4,75.3,Presence,14,29.558988515448135,leaning right
21.075,0,13.4,75.3,Presence,14,41.00986172009553,leaning right
21.165,0,13.4,75.3,Presence,14,29.558988515448135,leaning right
21.254,0,13.4,75.3,Presence,14,29.558988515448135,leaning right
21.330,0,13.4,75.3,Presence,14,,unknown
21.434,0,13.4,75.3,Presence,14,31.76011074924773,leaning right
21.525,0,13.4,75.3,Presence,14,48.09645427644523,leaning right
21.600,0,13.4,75.3,Presence,14,,unknown
21.704,0,13.4,75.3,Presence,14,,unknown
21.794,0,13.4,75.3,Presence,14,,unknown
21.884,0,13.4,75.3,Presence,14,,unknown
22.005,0,15.1,75.3,Presence,12,,unknown
22.069,0,15.1,75.3,Presence,12,48.09645427644523,leaning right
22.163,0,15.1,75.3,Presence,12,31.76011074924773,leaning right
22.261,0,15.1,75.3,Presence,12,48.09645427644523,leaning right
22.356,0,15.1,75.3,Presence,12,31.76011074924773,leaning right
22.425,0,15.1,75.3,Presence,12,,unknown
22.500,0,15.1,75.3,Presence,12,28.967974912736594,leaning right
22.590,0,15.1,75.3,Presence,12,0.0,upright
22.696,0,15.1,75.3,Presence,12,-20.42137093414584,leaning left
22.786,0,15.1,75.3,Presence,12,-26.78485526961373,leaning left
22.880,0,15.1,75.3,Presence,12,-26.78485526961373,leaning left
22.955,0,15.1,75.3,Presence,12,-26.78485526961373,leaning left
23.045,0,15.1,75.3,Presence,12,-35.462837787431184,leaning left
23.144,0,15.1,75.3,Presence,12,-35.462837787431184,leaning left
23.235,0,15.1,75.3,Presence,12,-35.462837787431184,leaning left
23.310,0,15.1,75.3,Presence,12,-35.462837787431184,leaning left
23.450,0,11.7,75.3,Presence,12,-24.32582827468262,leaning left
